Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
áti,man,aːtɪ,noun,Derived from Proto-South-Insular-Astiga: áta̱ /aːtə/ < Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
súrati,woman,s̠uːɾätɪ,noun,Derived from Proto-South-Insular-Astiga: súrata̱ /suːɾatə/ < Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
rí,person,ɾiː,noun,Derived from Proto-South-Insular-Astiga: rí /ɾiː/ < Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
azo,boy,äsɒ,noun,Derived from Proto-South-Insular-Astiga: axo /aʃɔ/ < Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kiraxa,girl,kɪɾäʔä,noun,Derived from Proto-South-Insular-Astiga: ka̱raha /kəɾaha/ < Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
axíf,child,äʔiːf,noun,Derived from Proto-South-Insular-Astiga: ahíf /ahiːf/ < Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kao,head,käɒ,noun,Derived from Proto-South-Insular-Astiga: kao /kaɔ/ < Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
afati,shoulder,äfätɪ,noun,Derived from Proto-South-Insular-Astiga: afata̱ /afatə/ < Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
olí,knee,ɒliː,noun,Derived from Proto-South-Insular-Astiga: olí /ɔliː/ < Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
ímora,toe,iːmɒɾä,noun,Derived from Proto-South-Insular-Astiga: ímora /iːmɔɾa/ < Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
núnús,hand,nuːnuːs̠,noun,Derived from Proto-South-Insular-Astiga: núnús /nuːnuːs/ < Derived from Proto-Insular-Astiga: nōnōs /nɔːnɔːs/ < Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ana,foot,änä,noun,Derived from Proto-South-Insular-Astiga: ana /ana/ < Derived from Proto-Insular-Astiga: ene /ɛnɛ/ < Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
kinao,leg,kɪnäɒ,noun,Derived from Proto-South-Insular-Astiga: ka̱nao /kənaɔ/ < Derived from Proto-Insular-Astiga: knala /knaɫa/ < Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
saxi,arm,s̠äʔɪ,noun,Derived from Proto-South-Insular-Astiga: saha̱ /sahə/ < Derived from Proto-Insular-Astiga: saða /saða/ < Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
faxá,eye,fäʔaː,noun,Derived from Proto-South-Insular-Astiga: fahá /fahaː/ < Derived from Proto-Insular-Astiga: phaðėa /phaðea/ < Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
miras,ear,mɪɾäs̠,noun,Derived from Proto-South-Insular-Astiga: ma̱ras /məɾas/ < Derived from Proto-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
