Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
īsgam,man,iːsgæm,noun,Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
cōrvat,woman,coːɾwæt,noun,Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
nətōkōr,person,nətoːkoːɾ,noun,Derived from Proto-Astiga: ńtōkōr /n̩toːkoːɾ/,,,
akso,boy,æksɔ,noun,Derived from Proto-Astiga: aksu /aksu/,,,
krətə,girl,kɾətə,noun,Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
itūmsə,child,ɪtuːmsə,noun,Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kitta,head,kɪtːæ,noun,Derived from Proto-Astiga: kerra /kera/,,,
vapsat,shoulder,wæpsæt,noun,Derived from Proto-Astiga: vapsat /ʋapsat/,,,
olēn,knee,ɔleːn,noun,Derived from Proto-Astiga: ulēn /uleːn/,,,
ēmârə,toe,eːmɑɾə,noun,Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nāmnāc,hand,naːmnaːc,noun,Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ənnə,foot,ənnə,noun,Derived from Proto-Astiga: inni /inni/,,,
knəlas,leg,knəlæs,noun,Derived from Proto-Astiga: kńlas /kn̩las/,,,
citi,arm,cɪtɪ,noun,Derived from Proto-Astiga: kʲete /kʲete/,,,
psətī,eye,psətiː,noun,Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mrəca,ear,mɾəcæ,noun,Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
cong,mouth,cɔng,noun,Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tâvirē,nose,tɑwɪɾeː,noun,Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
səcâro,cheek,səcɑɾɔ,noun,Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nonēr,forehead,nɔneːɾ,noun,Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nâbigsə,elbow,nɑbɪgsə,noun,Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pikəna,chin,pɪkənæ,noun,Derived from Proto-Astiga: pekina /pekina/,,,
âksūm,lip,ɑksuːm,noun,Derived from Proto-Astiga: oksūm /oksuːm/,,,
pāsat,penis,paːsæt,noun,Derived from Proto-Astiga: pāsat /paːsat/,,,
ilomū,vagina,ɪlɔmuː,noun,Derived from Proto-Astiga: elumū /elumuː/,,,
əpas,butt,əpæs,noun,Derived from Proto-Astiga: ipas /ipas/,,,
ētamivrə,game,eːtæmɪwɾə,noun,Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
mnəgâ,wind,mnəgɑ,noun,Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
psəkēr,sight,psəkeːɾ,noun,Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
natōs,water,nætoːs,noun,Derived from Proto-Astiga: natōs /natoːs/,,,
krəvâs,fire,kɾəwɑs,noun,Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
micrjō,earth,mɪcɾjoː,noun,Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
atrāvīgsə,school,ætɾaːwiːgsə,noun,Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
jōvēnūs,student,joːweːnuːs,noun,Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
cāttə,language,caːtːə,noun,Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
sēnro,tongue,seːnɾɔ,noun,Derived from Proto-Astiga: seinru /seinɾu/,,,
âkjōtrə,plains,ɑkjoːtɾə,noun,Derived from Proto-Astiga: okautŕ /okautɾ̩/,,,
cōmsī,mountain,coːmsiː,noun,Derived from Proto-Astiga: kʲōmsī /kʲoːmsiː/,,,
arjēm,hair,æɾjeːm,noun,Derived from Proto-Astiga: arjēm /aɾjeːm/,,,
ārâs,friend,aːɾɑs,noun,Derived from Proto-Astiga: iuros /iuɾos/,,,
lâji,way,lɑjɪ,noun,Derived from Proto-Astiga: loje /loje/,,,
okābrə,semen,ɔkaːbɾə,noun,Derived from Proto-Astiga: ukāgʷŕ /ukaːgʷɾ̩/,,,
itūclərāgam,pedophile,ɪtuːcləɾaːgæm,noun,Derived from Proto-Astiga: etūkʲĺrādʷam /etuːkʲl̩ɾaːdʷam/,,,
câgam,follower,cɑgæm,noun,Derived from Proto-Astiga: kʲodʷam /kʲodʷam/,,,
bsəcon,thing,bsəcɔn,noun,Derived from Proto-Astiga: gʷśkʲun /gʷs̩kʲun/,,,
rjōvōc,card,ɾjoːwoːc,noun,Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,Use as a gift or transaction,,
alpa,baby,ælpæ,noun,Derived from Proto-Astiga: alpa /alpa/,,,
əropa,song,əɾɔpæ,noun,Derived from Proto-Astiga: irupa /iɾupa/,,,
nōgi,savanna,noːgɪ,noun,Derived from Proto-Astiga: nōdʷe /noːdʷe/,,,
rjōvōc,card,ɾjoːwoːc,noun,Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,"Use for play or games, or general information",,
tāvala,loan,taːwælæ,noun,Derived from Proto-Astiga: tāvala /taːʋala/,,,
sēmrâs,payment,seːmɾɑs,noun,Derived from Proto-Astiga: sēmros /seːmɾos/,,,
