Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
eːsgɛm,man,eːsgɛm,noun,Derived from Classical Esti: īsgam /iːsgæm/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tuːnɡʷɛʔ,woman,tuːnɡʷɛʔ,noun,Derived from Classical Esti: cōrvat /coːɾwæt/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
nɛtuːkuːɾ,person,nɛtuːkuːɾ,noun,Derived from Classical Esti: nətōkōr /nətoːkoːɾ/ < Derived from Proto-Astiga: ńtōkōr /n̩toːkoːɾ/,,,
ɛksɑ,boy,ɛksɑ,noun,Derived from Classical Esti: akso /æksɔ/ < Derived from Proto-Astiga: aksu /aksu/,,,
kɾɛtɛ,girl,kɾɛtɛ,noun,Derived from Classical Esti: krətə /kɾətə/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
ɛtuːbzɛ,child,ɛtuːbzɛ,noun,Derived from Classical Esti: itūmsə /ɪtuːmsə/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kɛntɛ,head,kɛntɛ,noun,Derived from Classical Esti: kitta /kɪtːæ/ < Derived from Proto-Astiga: kerra /kera/,,,
ɡʷɛpsɛʔ,shoulder,ɡʷɛpsɛʔ,noun,Derived from Classical Esti: vapsat /wæpsæt/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ɑliːn,knee,ɑliːn,noun,Derived from Classical Esti: olēn /ɔleːn/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
iːmɔɾɛ,toe,iːmɔɾɛ,noun,Derived from Classical Esti: ēmârə /eːmɑɾə/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
naːbnaːt,hand,naːbnaːt,noun,Derived from Classical Esti: nāmnāc /naːmnaːc/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ɛɡnɛ,foot,ɛɡnɛ,noun,Derived from Classical Esti: ənnə /ənnə/ < Derived from Proto-Astiga: inni /inni/,,,
knɛlɛs,leg,knɛlɛs,noun,Derived from Classical Esti: knəlas /knəlæs/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
tɛtɛ,arm,tɛtɛ,noun,Derived from Classical Esti: citi /cɪtɪ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
psɛteː,eye,psɛteː,noun,Derived from Classical Esti: psətī /psətiː/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
bɾɛtɛ,ear,bɾɛtɛ,noun,Derived from Classical Esti: mrəca /mɾəcæ/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tɑng,mouth,tɑng,noun,Derived from Classical Esti: cong /cɔng/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tɔɡʷɛɾiː,nose,tɔɡʷɛɾiː,noun,Derived from Classical Esti: tâvirē /tɑwɪɾeː/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
sɛtɔɾɑ,cheek,sɛtɔɾɑ,noun,Derived from Classical Esti: səcâro /səcɑɾɔ/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nɑniːɾ,forehead,nɑniːɾ,noun,Derived from Classical Esti: nonēr /nɔneːɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nɔbɛgzɛ,elbow,nɔbɛgzɛ,noun,Derived from Classical Esti: nâbigsə /nɑbɪgsə/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pɛkɛnɛ,chin,pɛkɛnɛ,noun,Derived from Classical Esti: pikəna /pɪkənæ/ < Derived from Proto-Astiga: pekina /pekina/,,,
ɔksuːm,lip,ɔksuːm,noun,Derived from Classical Esti: âksūm /ɑksuːm/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
paːsɛʔ,penis,paːsɛʔ,noun,Derived from Classical Esti: pāsat /paːsæt/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
ɛlɑmuː,vagina,ɛlɑmuː,noun,Derived from Classical Esti: ilomū /ɪlɔmuː/ < Derived from Proto-Astiga: elumū /elumuː/,,,
ɛpɛs,butt,ɛpɛs,noun,Derived from Classical Esti: əpas /əpæs/ < Derived from Proto-Astiga: ipas /ipas/,,,
iːtɛmɛɡʷɾɛ,game,iːtɛmɛɡʷɾɛ,noun,Derived from Classical Esti: ētamivrə /eːtæmɪwɾə/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
bnɛgɔ,wind,bnɛgɔ,noun,Derived from Classical Esti: mnəgâ /mnəgɑ/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
psɛkiːɾ,sight,psɛkiːɾ,noun,Derived from Classical Esti: psəkēr /psəkeːɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
nɛtuːs,water,nɛtuːs,noun,Derived from Classical Esti: natōs /nætoːs/ < Derived from Proto-Astiga: natōs /natoːs/,,,
kɾɛɡʷɔs,fire,kɾɛɡʷɔs,noun,Derived from Classical Esti: krəvâs /kɾəwɑs/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
mɛtɾjuː,earth,mɛtɾjuː,noun,Derived from Classical Esti: micrjō /mɪcɾjoː/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
ɛtɾaːɡʷeːgzɛ,school,ɛtɾaːɡʷeːgzɛ,noun,Derived from Classical Esti: atrāvīgsə /ætɾaːwiːgsə/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
juːɡʷiːnuːs,student,juːɡʷiːnuːs,noun,Derived from Classical Esti: jōvēnūs /joːweːnuːs/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
taːntɛ,language,taːntɛ,noun,Derived from Classical Esti: cāttə /caːtːə/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
siːnɾɑ,tongue,siːnɾɑ,noun,Derived from Classical Esti: sēnro /seːnɾɔ/ < Derived from Proto-Astiga: seinru /seinɾu/,,,
ɔkjuːtɾɛ,plains,ɔkjuːtɾɛ,noun,Derived from Classical Esti: âkjōtrə /ɑkjoːtɾə/ < Derived from Proto-Astiga: okautŕ /okautɾ̩/,,,
tuːbzeː,mountain,tuːbzeː,noun,Derived from Classical Esti: cōmsī /coːmsiː/ < Derived from Proto-Astiga: kʲōmsī /kʲoːmsiː/,,,
ɛɾjiːm,hair,ɛɾjiːm,noun,Derived from Classical Esti: arjēm /æɾjeːm/ < Derived from Proto-Astiga: arjēm /aɾjeːm/,,,
aːɾɔs,friend,aːɾɔs,noun,Derived from Classical Esti: ārâs /aːɾɑs/ < Derived from Proto-Astiga: iuros /iuɾos/,,,
lɔjɛ,way,lɔjɛ,noun,Derived from Classical Esti: lâji /lɑjɪ/ < Derived from Proto-Astiga: loje /loje/,,,
ɑkaːbɾɛ,semen,ɑkaːbɾɛ,noun,Derived from Classical Esti: okābrə /ɔkaːbɾə/ < Derived from Proto-Astiga: ukāgʷŕ /ukaːgʷɾ̩/,,,
ɛtuːtlɛɾaːgɛm,pedophile,ɛtuːtlɛɾaːgɛm,noun,Derived from Classical Esti: itūclərāgam /ɪtuːcləɾaːgæm/ < Derived from Proto-Astiga: etūkʲĺrādʷam /etuːkʲl̩ɾaːdʷam/,,,
tɔgɛm,follower,tɔgɛm,noun,Derived from Classical Esti: câgam /cɑgæm/ < Derived from Proto-Astiga: kʲodʷam /kʲodʷam/,,,
bzɛtɑn,thing,bzɛtɑn,noun,Derived from Classical Esti: bsəcon /bsəcɔn/ < Derived from Proto-Astiga: gʷśkʲun /gʷs̩kʲun/,,,
