Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
atü,man,atɨ,noun,Derived from Ancient Milavirú: áti /aːtɪ/ < Derived from Proto-South-Insular-Astiga: áta̱ /aːtə/ < Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
suratü,woman,suɾatɨ,noun,Derived from Ancient Milavirú: súrati /s̠uːɾätɪ/ < Derived from Proto-South-Insular-Astiga: súrata̱ /suːɾatə/ < Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
di,person,di,noun,Derived from Ancient Milavirú: rí /ɾiː/ < Derived from Proto-South-Insular-Astiga: rí /ɾiː/ < Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
aso,boy,asɔ,noun,Derived from Ancient Milavirú: azo /äsɒ/ < Derived from Proto-South-Insular-Astiga: axo /aʃɔ/ < Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
küraha,girl,kɨɾaha,noun,Derived from Ancient Milavirú: kiraxa /kɪɾäʔä/ < Derived from Proto-South-Insular-Astiga: ka̱raha /kəɾaha/ < Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
ahí,child,ahiʔ,noun,Derived from Ancient Milavirú: axíf /äʔiːf/ < Derived from Proto-South-Insular-Astiga: ahíf /ahiːf/ < Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kao,head,kaɔ,noun,Derived from Ancient Milavirú: kao /käɒ/ < Derived from Proto-South-Insular-Astiga: kao /kaɔ/ < Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
apatü,shoulder,apatɨ,noun,Derived from Ancient Milavirú: afati /äfätɪ/ < Derived from Proto-South-Insular-Astiga: afata̱ /afatə/ < Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
oli,knee,ɔli,noun,Derived from Ancient Milavirú: olí /ɒliː/ < Derived from Proto-South-Insular-Astiga: olí /ɔliː/ < Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
imora,toe,imɔɾa,noun,Derived from Ancient Milavirú: ímora /iːmɒɾä/ < Derived from Proto-South-Insular-Astiga: ímora /iːmɔɾa/ < Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nunus,hand,nunus,noun,Derived from Ancient Milavirú: núnús /nuːnuːs̠/ < Derived from Proto-South-Insular-Astiga: núnús /nuːnuːs/ < Derived from Proto-Insular-Astiga: nōnōs /nɔːnɔːs/ < Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ana,foot,ana,noun,Derived from Ancient Milavirú: ana /änä/ < Derived from Proto-South-Insular-Astiga: ana /ana/ < Derived from Proto-Insular-Astiga: ene /ɛnɛ/ < Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
künao,leg,kɨnaɔ,noun,Derived from Ancient Milavirú: kinao /kɪnäɒ/ < Derived from Proto-South-Insular-Astiga: ka̱nao /kənaɔ/ < Derived from Proto-Insular-Astiga: knala /knaɫa/ < Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
sahü,arm,sahɨ,noun,Derived from Ancient Milavirú: saxi /s̠äʔɪ/ < Derived from Proto-South-Insular-Astiga: saha̱ /sahə/ < Derived from Proto-Insular-Astiga: saða /saða/ < Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
paha,eye,paha,noun,Derived from Ancient Milavirú: faxá /fäʔaː/ < Derived from Proto-South-Insular-Astiga: fahá /fahaː/ < Derived from Proto-Insular-Astiga: phaðėa /phaðea/ < Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
müras,ear,mɨɾas,noun,Derived from Ancient Milavirú: miras /mɪɾäs̠/ < Derived from Proto-South-Insular-Astiga: ma̱ras /məɾas/ < Derived from Proto-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
sontü,mouth,sɔntɨ,noun,Derived from Ancient Milavirú: sonti /s̠ɒntɪ/ < Derived from Proto-South-Insular-Astiga: sonta̱ /sɔntə/ < Derived from Proto-Insular-Astiga: sund /sʊnd/ < Derived from Proto-North-Astiga: śund /ɕund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tari,nose,taɾi,noun,Derived from Ancient Milavirú: tárí /taːɾiː/ < Derived from Proto-South-Insular-Astiga: tárí /taːɾiː/ < Derived from Proto-Insular-Astiga: toarē /tɔaɾɛː/ < Derived from Proto-North-Astiga: toerei /tɔɛɾɛi/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
asoro,cheek,asɔɾɔ,noun,Derived from Ancient Milavirú: asoro /äs̠ɒɾɒ/ < Derived from Proto-South-Insular-Astiga: hasoro /hasɔɾɔ/ < Derived from Proto-Insular-Astiga: hasoru /hasɔɾʊ/ < Derived from Proto-North-Astiga: saśoru /saɕɔɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
noní,forehead,nɔniʔ,noun,Derived from Ancient Milavirú: noníri /nɒniːɾɪ/ < Derived from Proto-South-Insular-Astiga: noníra̱ /nɔniːɾə/ < Derived from Proto-Insular-Astiga: nunēr /nʊnɛːɾ/ < Derived from Proto-North-Astiga: nuneir /nunɛiɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nokas,elbow,nɔkas,noun,Derived from Ancient Milavirú: nokas /nɒkäs̠/ < Derived from Proto-South-Insular-Astiga: nokas /nɔkas/ < Derived from Proto-Insular-Astiga: nogadha /nɔgadha/ < Derived from Proto-North-Astiga: nogedsa /nɔgɛdsa/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pashan,chin,paʃan,noun,Derived from Ancient Milavirú: payan /päʝän/ < Derived from Proto-South-Insular-Astiga: payan /pajan/ < Derived from Proto-Insular-Astiga: paɣena /paɣɛna/ < Derived from Proto-North-Astiga: pekėna /pɛkena/ < Derived from Proto-Astiga: pekina /pekina/,,,
osi,lip,ɔsi,noun,Derived from Ancient Milavirú: ozí /ɒsiː/ < Derived from Proto-South-Insular-Astiga: oxí /ɔʃiː/ < Derived from Proto-Insular-Astiga: okhē /ɔkhɛː/ < Derived from Proto-North-Astiga: oksuen /ɔksuɛn/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
puhatü,penis,puhatɨ,noun,Derived from Ancient Milavirú: púxati /puːʔätɪ/ < Derived from Proto-South-Insular-Astiga: púhata̱ /puːhatə/ < Derived from Proto-Insular-Astiga: pōhat /pɔːhat/ < Derived from Proto-North-Astiga: pausat /pausat/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
alomi,vagina,alɔmi,noun,Derived from Ancient Milavirú: alomí /älɒmiː/ < Derived from Proto-South-Insular-Astiga: alomí /alɔmiː/ < Derived from Proto-Insular-Astiga: alumē /aɫʊmɛː/ < Derived from Proto-North-Astiga: elumue /ɛlumuɛ/ < Derived from Proto-Astiga: elumū /elumuː/,,,
ai,butt,ai,noun,Derived from Ancient Milavirú: avi /äʋɪ/ < Derived from Proto-South-Insular-Astiga: awa̱ /awə/ < Derived from Proto-Insular-Astiga: eβa /ɛβa/ < Derived from Proto-North-Astiga: ėpas /epas/ < Derived from Proto-Astiga: ipas /ipas/,,,
ihamá,game,ihamaʔ,noun,Derived from Ancient Milavirú: íxamari /iːʔämäɾɪ/ < Derived from Proto-South-Insular-Astiga: íhamara̱ /iːhamaɾə/ < Derived from Proto-Insular-Astiga: ēðamara /ɛːðamaɾa/ < Derived from Proto-North-Astiga: eitamera /ɛitamɛɾa/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
nato,wind,natɔ,noun,Derived from Ancient Milavirú: nato /nätɒ/ < Derived from Proto-South-Insular-Astiga: nato /natɔ/ < Derived from Proto-Insular-Astiga: nado /nadɔ/ < Derived from Proto-North-Astiga: nado /nadɔ/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
pashí,sight,paʃiʔ,noun,Derived from Ancient Milavirú: fayíri /fäʝiːɾɪ/ < Derived from Proto-South-Insular-Astiga: fayíra̱ /fajiːɾə/ < Derived from Proto-Insular-Astiga: phaɣēr /phaɣɛːɾ/ < Derived from Proto-North-Astiga: psakeir /psakɛiɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
nahu,water,nahu,noun,Derived from Ancient Milavirú: naxú /näʔuː/ < Derived from Proto-South-Insular-Astiga: nahú /nahuː/ < Derived from Proto-Insular-Astiga: naðō /naðɔː/ < Derived from Proto-North-Astiga: nataus /nataus/ < Derived from Proto-Astiga: natōs /natoːs/,,,
küro,fire,kɨɾɔ,noun,Derived from Ancient Milavirú: kiró /kɪɾoː/ < Derived from Proto-South-Insular-Astiga: ka̱ró /kəɾɔː/ < Derived from Proto-Insular-Astiga: krao /kɾaɔ/ < Derived from Proto-North-Astiga: kraos /kɾaɔs/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
mastu,earth,mastu,noun,Derived from Ancient Milavirú: mastú /mäs̠tuː/ < Derived from Proto-South-Insular-Astiga: masrú /masɾuː/ < Derived from Proto-Insular-Astiga: masrō /masɾɔː/ < Derived from Proto-North-Astiga: meśrau /mɛɕɾau/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
ahürus,school,ahɨɾus,noun,Derived from Ancient Milavirú: axirús /äʔɪɾuːs̠/ < Derived from Proto-South-Insular-Astiga: aha̱rús /ahəɾuːs/ < Derived from Proto-Insular-Astiga: aðrōėadha /aðɾɔːeadha/ < Derived from Proto-North-Astiga: atrauiedsa /atɾauiɛdsa/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
uini,student,uini,noun,Derived from Ancient Milavirú: úíní /uːiːniː/ < Derived from Proto-South-Insular-Astiga: úíní /uːiːniː/ < Derived from Proto-Insular-Astiga: ōēnē /ɔːɛːnɛː/ < Derived from Proto-North-Astiga: aueinues /auɛinuɛs/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
sula,language,sula,noun,Derived from Ancient Milavirú: súla /s̠uːlä/ < Derived from Proto-South-Insular-Astiga: súla /suːla/ < Derived from Proto-Insular-Astiga: sōle /sɔːɫɛ/ < Derived from Proto-North-Astiga: caulė /caule/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
into,tongue,intɔ,noun,Derived from Ancient Milavirú: ínto /iːntɒ/ < Derived from Proto-South-Insular-Astiga: hínto /hiːntɔ/ < Derived from Proto-Insular-Astiga: hēnru /hɛːnɾʊ/ < Derived from Proto-North-Astiga: seinru /sɛinɾu/ < Derived from Proto-Astiga: seinru /seinɾu/,,,
oshuté,plains,ɔʃutɛʔ,noun,Derived from Ancient Milavirú: oyútiri /ɒʝuːtɪɾɪ/ < Derived from Proto-South-Insular-Astiga: oyúta̱ra̱ /ɔjuːtəɾə/ < Derived from Proto-Insular-Astiga: oɣōtra /ɔɣɔːtɾa/ < Derived from Proto-North-Astiga: okautra /ɔkautɾa/ < Derived from Proto-Astiga: okautŕ /okautɾ̩/,,,
supa,mountain,supa,noun,Derived from Ancient Milavirú: súfá /s̠uːfaː/ < Derived from Proto-South-Insular-Astiga: súfá /suːfaː/ < Derived from Proto-Insular-Astiga: sōmhėa /sɔːmhea/ < Derived from Proto-North-Astiga: śaumsie /ɕaumsiɛ/ < Derived from Proto-Astiga: kʲōmsī /kʲoːmsiː/,,,
arsi,hair,aɾsi,noun,Derived from Ancient Milavirú: arisí /äɾɪs̠iː/ < Derived from Proto-South-Insular-Astiga: ara̱sí /aɾəsiː/ < Derived from Proto-Insular-Astiga: arzē /aɾzɛː/ < Derived from Proto-North-Astiga: arġein /aɾʑɛin/ < Derived from Proto-Astiga: arjēm /aɾjeːm/,,,
oro,friend,ɔɾɔ,noun,Derived from Ancient Milavirú: óro /oːɾɒ/ < Derived from Proto-South-Insular-Astiga: óro /ɔːɾɔ/ < Derived from Proto-Insular-Astiga: euro /ɛʊɾɔ/ < Derived from Proto-North-Astiga: ėuros /euɾɔs/ < Derived from Proto-Astiga: iuros /iuɾos/,,,
nosü,way,nɔsɨ,noun,Derived from Ancient Milavirú: losi /lɒs̠ɪ/ < Derived from Proto-South-Insular-Astiga: losa̱ /lɔsə/ < Derived from Proto-Insular-Astiga: loza /ɫɔza/ < Derived from Proto-North-Astiga: loġe /lɔʑɛ/ < Derived from Proto-Astiga: loje /loje/,,,
okuké,semen,ɔkukɛʔ,noun,Derived from Ancient Milavirú: okúkiri /ɒkuːkɪɾɪ/ < Derived from Proto-South-Insular-Astiga: okúka̱ra̱ /ɔkuːkəɾə/ < Derived from Proto-Insular-Astiga: ukōgra /ʊkɔːgɾa/ < Derived from Proto-North-Astiga: ukaugra /ukaugɾa/ < Derived from Proto-Astiga: ukāgʷŕ /ukaːgʷɾ̩/,,,
ahisarutü,pedophile,ahisaɾutɨ,noun,Derived from Ancient Milavirú: axízarúti /äʔiːsäɾuːtɪ/ < Derived from Proto-South-Insular-Astiga: ahíxarúta̱ /ahiːʃaɾuːtə/ < Derived from Proto-Insular-Astiga: aðēslarōda /aðɛːsɫaɾɔːda/ < Derived from Proto-North-Astiga: etueślaraudan /ɛtuɛɕlaɾaudan/ < Derived from Proto-Astiga: etūkʲĺrādʷam /etuːkʲl̩ɾaːdʷam/,,,
sorü,follower,sɔɾɨ,noun,Derived from Ancient Milavirú: soti /s̠ɒtɪ/ < Derived from Proto-South-Insular-Astiga: sota̱ /sɔtə/ < Derived from Proto-Insular-Astiga: soda /sɔda/ < Derived from Proto-North-Astiga: śodan /ɕɔdan/ < Derived from Proto-Astiga: kʲodʷam /kʲodʷam/,,,
saso,thing,sasɔ,noun,Derived from Ancient Milavirú: zaso /säs̠ɒ/ < Derived from Proto-South-Insular-Astiga: xaso /ʃasɔ/ < Derived from Proto-Insular-Astiga: ghasu /ghasʊ/ < Derived from Proto-North-Astiga: gsaśun /gsaɕun/ < Derived from Proto-Astiga: gʷśkʲun /gʷs̩kʲun/,,,
dus,card,dus,noun,Derived from Ancient Milavirú: rús /ɾuːs̠/ < Derived from Proto-South-Insular-Astiga: rús /ɾuːs/ < Derived from Proto-Insular-Astiga: rōs /ɾɔːs/ < Derived from Proto-North-Astiga: rauauc /ɾauauc/ < Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,Use as a gift or transaction,,
aha,baby,aha,noun,Derived from Ancient Milavirú: axa /äʔä/ < Derived from Proto-South-Insular-Astiga: haha /haha/ < Derived from Proto-Insular-Astiga: haðe /haðɛ/ < Derived from Proto-North-Astiga: satė /sate/ < Derived from Proto-Astiga: śti /s̩ti/,,,
aropü,song,aɾɔpɨ,noun,Derived from Ancient Milavirú: aropi /äɾɒpɪ/ < Derived from Proto-South-Insular-Astiga: aropa̱ /aɾɔpə/ < Derived from Proto-Insular-Astiga: erupa /ɛɾʊpa/ < Derived from Proto-North-Astiga: ėrupa /eɾupa/ < Derived from Proto-Astiga: irupa /iɾupa/,,,
nutü,savanna,nutɨ,noun,Derived from Ancient Milavirú: núti /nuːtɪ/ < Derived from Proto-South-Insular-Astiga: núta̱ /nuːtə/ < Derived from Proto-Insular-Astiga: nōda /nɔːda/ < Derived from Proto-North-Astiga: naude /naudɛ/ < Derived from Proto-Astiga: nōdʷe /noːdʷe/,,,
dus,card,dus,noun,Derived from Ancient Milavirú: rús /ɾuːs̠/ < Derived from Proto-South-Insular-Astiga: rús /ɾuːs/ < Derived from Proto-Insular-Astiga: rōs /ɾɔːs/ < Derived from Proto-North-Astiga: rauauc /ɾauauc/ < Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,"Use for play or games, or general information",,
toa,loan,tɔa,noun,Derived from Ancient Milavirú: túo /tuːɒ/ < Derived from Proto-South-Insular-Astiga: túo /tuːɔ/ < Derived from Proto-Insular-Astiga: tōala /tɔːaɫa/ < Derived from Proto-North-Astiga: tauala /tauala/ < Derived from Proto-Astiga: tāvala /taːʋala/,,,
imüro,payment,imɨɾɔ,noun,Derived from Ancient Milavirú: ímiro /iːmɪɾɒ/ < Derived from Proto-South-Insular-Astiga: híma̱ro /hiːməɾɔ/ < Derived from Proto-Insular-Astiga: hēmro /hɛːmɾɔ/ < Derived from Proto-North-Astiga: seimros /sɛimɾɔs/ < Derived from Proto-Astiga: sēmros /seːmɾos/,,,
alokü,day,alɔkɨ,noun,Derived from Ancient Milavirú: áloki /aːlɒkɪ/ < Derived from Proto-South-Insular-Astiga: áloka̱ /aːlɔkə/ < Derived from Proto-Insular-Astiga: ėalok /eaɫɔk/ < Derived from Proto-North-Astiga: ielok /iɛlɔk/ < Derived from Proto-Astiga: īlok /iːlok/,,,
omi,night,ɔmi,noun,Derived from Ancient Milavirú: omí /ɒmiː/ < Derived from Proto-South-Insular-Astiga: omí /ɔmiː/ < Derived from Proto-Insular-Astiga: umē /ʊmɛː/ < Derived from Proto-North-Astiga: umues /umuɛs/ < Derived from Proto-Astiga: umūs /umuːs/,,,
anamo,pedal,anamɔ,noun,Derived from Ancient Milavirú: anamo /änämɒ/ < Derived from Proto-South-Insular-Astiga: anamo /anamɔ/ < Derived from Proto-Insular-Astiga: enemu /ɛnɛmʊ/ < Derived from Proto-North-Astiga: ėnʲėmu /enʲemu/ < Derived from Proto-Astiga: innimu /innimu/,,,
au,city,au,noun,Derived from Ancient Milavirú: eú /ɛ̈uː/ < Derived from Proto-South-Insular-Astiga: heú /hɛuː/ < Derived from Proto-Insular-Astiga: hėō /heɔː/ < Derived from Proto-North-Astiga: siau /siau/ < Derived from Proto-Astiga: sēvā /seːʋaː/,,,
osa,travel,ɔsa,noun,Derived from Ancient Milavirú: osa /ɒs̠ä/ < Derived from Proto-South-Insular-Astiga: osa /ɔsa/ < Derived from Proto-Insular-Astiga: ose /ɔsɛ/ < Derived from Proto-North-Astiga: ośėn /ɔɕen/ < Derived from Proto-Astiga: okʲin /okʲin/,,,
ta,I,ta,pronoun,Derived from Ancient Milavirú: ta /tä/ < Derived from Proto-South-Insular-Astiga: ta /ta/ < Derived from Proto-Insular-Astiga: de /dɛ/ < Derived from Proto-North-Astiga: dė /de/ < Derived from Proto-Astiga: dʷi /dʷi/,,,
münahü,you.s,mɨnahɨ,pronoun,Derived from Ancient Milavirú: minaxi /mɪnäʔɪ/ < Derived from Proto-South-Insular-Astiga: ma̱naha̱ /mənahə/ < Derived from Proto-Insular-Astiga: mnaða /mnaða/ < Derived from Proto-North-Astiga: mnate /mnatɛ/ < Derived from Proto-Astiga: mńte /mn̩te/,,,
ura,it,uɾa,pronoun,Derived from Ancient Milavirú: úra /uːɾä/ < Derived from Proto-South-Insular-Astiga: úra /uːɾa/ < Derived from Proto-Insular-Astiga: ōre /ɔːɾɛ/ < Derived from Proto-North-Astiga: aurė /auɾe/ < Derived from Proto-Astiga: ārvi /aːɾʋi/,,,
korü,we,kɔɾɨ,pronoun,Derived from Ancient Milavirú: koti /kɒtɪ/ < Derived from Proto-South-Insular-Astiga: kota̱ /kɔtə/ < Derived from Proto-Insular-Astiga: kod /kɔd/ < Derived from Proto-North-Astiga: kod /kɔd/ < Derived from Proto-Astiga: kodʷ /kodʷ/,,,
