Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ēsgė,man,ɛːsgɛ̃,noun,Derived from Old Metriune: ēsgem /eːsgɛm/ < Derived from Classical Esti: īsgam /iːsgæm/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tȯȯgeg,woman,tɔ̃ːɡɛɡ,noun,Derived from Old Metriune: tūngue' /tuːnɡʷɛʔ/ < Derived from Classical Esti: cōrvat /coːɾwæt/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
netōkōr,person,nɛtɔːkɔːɾ,noun,Derived from Old Metriune: netūkūr /nɛtuːkuːɾ/ < Derived from Classical Esti: nətōkōr /nətoːkoːɾ/ < Derived from Proto-Astiga: ńtōkōr /n̩toːkoːɾ/,,,
eksa,boy,ɛksɑ,noun,Derived from Old Metriune: eksa /ɛksɑ/ < Derived from Classical Esti: akso /æksɔ/ < Derived from Proto-Astiga: aksu /aksu/,,,
krete,girl,kɾɛtɛ,noun,Derived from Old Metriune: krete /kɾɛtɛ/ < Derived from Classical Esti: krətə /kɾətə/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
etōbze,child,ɛtɔːbzɛ,noun,Derived from Old Metriune: etūbze /ɛtuːbzɛ/ < Derived from Classical Esti: itūmsə /ɪtuːmsə/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kėte,head,kɛ̃tɛ,noun,Derived from Old Metriune: kente /kɛntɛ/ < Derived from Classical Esti: kitta /kɪtːæ/ < Derived from Proto-Astiga: kerra /kera/,,,
gepseg,shoulder,ɡɛpsɛɡ,noun,Derived from Old Metriune: guepse' /ɡʷɛpsɛʔ/ < Derived from Classical Esti: vapsat /wæpsæt/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
alėė,knee,ɑlɛ̃ː,noun,Derived from Old Metriune: alīn /ɑliːn/ < Derived from Classical Esti: olēn /ɔleːn/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
ēmore,toe,ɛːmɔɾɛ,noun,Derived from Old Metriune: īmore /iːmɔɾɛ/ < Derived from Classical Esti: ēmârə /eːmɑɾə/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nābnāt,hand,nɑːbnɑːt,noun,Derived from Old Metriune: nābnāt /naːbnaːt/ < Derived from Classical Esti: nāmnāc /naːmnaːc/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
egne,foot,ɛɡnɛ,noun,Derived from Old Metriune: egne /ɛɡnɛ/ < Derived from Classical Esti: ənnə /ənnə/ < Derived from Proto-Astiga: inni /inni/,,,
kneles,leg,knɛlɛs,noun,Derived from Old Metriune: kneles /knɛlɛs/ < Derived from Classical Esti: knəlas /knəlæs/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
tete,arm,tɛtɛ,noun,Derived from Old Metriune: tete /tɛtɛ/ < Derived from Classical Esti: citi /cɪtɪ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
psetē,eye,psɛtɛː,noun,Derived from Old Metriune: psetē /psɛteː/ < Derived from Classical Esti: psətī /psətiː/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
brete,ear,bɾɛtɛ,noun,Derived from Old Metriune: brete /bɾɛtɛ/ < Derived from Classical Esti: mrəca /mɾəcæ/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tang,mouth,tɑng,noun,Derived from Old Metriune: tang /tɑng/ < Derived from Classical Esti: cong /cɔng/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
togerē,nose,tɔɡɛɾɛː,noun,Derived from Old Metriune: toguerī /tɔɡʷɛɾiː/ < Derived from Classical Esti: tâvirē /tɑwɪɾeː/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
setora,cheek,sɛtɔɾɑ,noun,Derived from Old Metriune: setora /sɛtɔɾɑ/ < Derived from Classical Esti: səcâro /səcɑɾɔ/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
