Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ja,I,ja,pronoun,,,,
ti,you.s,ti,pronoun,,,,
čest,hello,t͡ʂɛst,greeting,,,,
on,he,ɔn,pronoun,,,,
ona,she,ɔna,pronoun,,,,
ono,it,ɔnɔ,pronoun,,,,
mi,we,mi,pronoun,,,,
vi,you.pl,vi,pronoun,,,,
oni,they.m,ɔni,pronoun,,,,
one,they.f,ɔnɛ,pronoun,,,,
ten,this.n,tɛn,pronoun,,,,
ta,this.f,ta,pronoun,,,,
to,this.m,tɔ,pronoun,,,,
tamten,that.n,tamtɛn,pronoun,,,,
tamta,that.f,tamta,pronoun,,,,
tamto,that.m,tamtɔ,pronoun,,,,
tuta,here,tuta,adv,,,,
tam,there,tam,adv,,,,
kto,who,ktɔ,pronoun,,,,
što,what,ʂtɔ,pronoun,,,,
co,what,t͡sɔ,pronoun,,,,
gde,where,gdɛ,adv,,,,
kad,when,kad,adv,,,,
jak,how,jak,adv,,,,
ne,not,nɛ,part,,,,
vas,all,vas,adj,,,,
vsatci,everyone,vsatt͡si,pronoun,,,,
vsatko,everything,vsatkɔ,pronoun,,,,
veli,many,vɛli,part,,,,
troha,some,tɾɔxa,part,,,,
mao,few,maɔ,adj,,,,
drugi,other,dɾugi,adj,,,,
eden,one,ɛdɛn,num,,,,
dva,two,dva,num,,,,
tri,three,tɾi,num,,,,
čtiri,four,t͡ʂtiɾi,num,,,,
pent,five,pɛnt,num,,,,
velki,big,vɛlki,adj,,,,
duogi,long,duɔgi,adj,,,,
široki,wide,ʂiɾɔki,adj,,,,
mnogo,very,mnɔgɔ,part,,"interchangeable with ""velmi""",,velmi
velmi,very,vɛlmi,part,,,,
moc,very,mɔt͡s,part,,"strong version of ""velmi/mnogo""",,
grubi,thick,gɾubi,adj,,,,
težki,heavy,tɛʐki,adj,,,,
kratki,short,kɾatki,adj,,,,
nevesta,woman,nɛvɛsta,noun,,,,
že,that,ʐɛ,rel-pronoun,,,,
nadeja,hope,nadɛja,noun,,,,
mat,have,mat,verb,,,,
rabit,do,ɾabit,verb,,,,
htet,want,xtɛt,verb,,,,
ale,but,alɛ,conj,,,,
čistit,clean,t͡ʂistit,verb,,,,
videt,see,vidɛt,verb,,,,
matka,mother,matka,noun,,f,,
ljubit,love,ljubit,verb,,,,
pisat,write,pisat,verb,,,,
prat,rod,pɾat,noun,,"also ""penis""",,
