Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ězą,man,æːzɑ̃ː,noun,Derived from Proto-West-Tekat: ězam /æzam/ < Derived from Proto-Tekat: ēzam /eːzam/ < Derived from Proto-South-Astiga: iesdom /iesdom/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tiras,woman,tiɾas,noun,Derived from Proto-West-Tekat: tiras /tiɾas/ < Derived from Proto-Tekat: tīras /tiːɾas/ < Derived from Proto-South-Astiga: tiaɾwos /tiaɾwos/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ri,person,ɾi,noun,Derived from Proto-West-Tekat: ri /ɾi/ < Derived from Proto-Tekat: rī /ɾiː/ < Derived from Proto-South-Astiga: ɾia /ɾia/ < Derived from Proto-Astiga: rē /ɾeː/,,,
aškъ,boy,aʃkʊ,noun,Derived from Proto-West-Tekat: aškъ /aʃkʊ/ < Derived from Proto-Tekat: ośku /oɕku/ < Derived from Proto-South-Astiga: oksu /oksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
jaštь,girl,jaʃtɨ,noun,Derived from Proto-West-Tekat: jašrь /jaʃɾɨ/ < Derived from Proto-Tekat: jaśre /jaɕɾe/ < Derived from Proto-South-Astiga: jaɾse /jaɾse/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
ašimas,child,aʃimas,noun,Derived from Proto-West-Tekat: ašimas /aʃimas/ < Derived from Proto-Tekat: aśȳmas /aɕyːmas/ < Derived from Proto-South-Astiga: asiumas /asiumas/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
jarъ,head,jaɾʊ,noun,Derived from Proto-West-Tekat: jarъ /jaɾʊ/ < Derived from Proto-Tekat: jaro /jaɾo/ < Derived from Proto-South-Astiga: jaɾo /jaɾo/ < Derived from Proto-Astiga: kerra /kera/,,,
vaspas,shoulder,ʋaspas,noun,Derived from Proto-West-Tekat: vaspas /ʋaspas/ < Derived from Proto-Tekat: waspas /waspas/ < Derived from Proto-South-Astiga: wopsos /wopsos/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ъlę,knee,ʊlɛ̃ː,noun,Derived from Proto-West-Tekat: ъlin /ʊlin/ < Derived from Proto-Tekat: ulīn /uliːn/ < Derived from Proto-South-Astiga: ulian /ulian/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
imarь,toe,imaɾɨ,noun,Derived from Proto-West-Tekat: imarь /imaɾɨ/ < Derived from Proto-Tekat: īmare /iːmaɾe/ < Derived from Proto-South-Astiga: iamaɾe /iamaɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
ninit,hand,ninit,noun,Derived from Proto-West-Tekat: ninit /ninit/ < Derived from Proto-Tekat: nȳnȳt /nyːnyːt/ < Derived from Proto-South-Astiga: niuwniut /niuwniut/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ednь,foot,ɛdnɨ,noun,Derived from Proto-West-Tekat: ednь /ɛdnɨ/ < Derived from Proto-Tekat: edne /edne/ < Derived from Proto-South-Astiga: enne /enne/ < Derived from Proto-Astiga: inni /inni/,,,
jalnas,leg,jalnas,noun,Derived from Proto-West-Tekat: jalnas /jalnas/ < Derived from Proto-Tekat: jalnas /jalnas/ < Derived from Proto-South-Astiga: janlos /janlos/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
tasa,arm,tasa,noun,Derived from Proto-West-Tekat: tasa /tasa/ < Derived from Proto-Tekat: tasa /tasa/ < Derived from Proto-South-Astiga: tasa /tasa/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
ašě,eye,aʃæː,noun,Derived from Proto-West-Tekat: ašě /aʃæ/ < Derived from Proto-Tekat: aśē /aɕeː/ < Derived from Proto-South-Astiga: hassie /hassie/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
martъ,ear,maɾtʊ,noun,Derived from Proto-West-Tekat: martъ /maɾtʊ/ < Derived from Proto-Tekat: marto /maɾto/ < Derived from Proto-South-Astiga: maɾto /maɾto/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tǫd,mouth,tɔ̃ːd,noun,Derived from Proto-West-Tekat: tъnd /tʊnd/ < Derived from Proto-Tekat: tund /tund/ < Derived from Proto-South-Astiga: tund /tund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
savari,nose,saʋaɾi,noun,Derived from Proto-West-Tekat: savari /saʋaɾi/ < Derived from Proto-Tekat: sawarī /sawaɾiː/ < Derived from Proto-South-Astiga: sawaɾia /sawaɾia/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
astarъ,cheek,astaɾʊ,noun,Derived from Proto-West-Tekat: astarъ /astaɾʊ/ < Derived from Proto-Tekat: astaru /astaɾu/ < Derived from Proto-South-Astiga: astaɾu /astaɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nъnir,forehead,nʊniɾ,noun,Derived from Proto-West-Tekat: nъnir /nʊniɾ/ < Derived from Proto-Tekat: nunīr /nuniːɾ/ < Derived from Proto-South-Astiga: nuniaɾ /nuniaɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabagas,elbow,nabagas,noun,Derived from Proto-West-Tekat: nabagas /nabagas/ < Derived from Proto-Tekat: nabagas /nabagas/ < Derived from Proto-South-Astiga: nabagas /nabagas/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
ajenъ,chin,ajɛnʊ,noun,Derived from Proto-West-Tekat: ajenъ /ajɛnʊ/ < Derived from Proto-Tekat: ajeno /ajeno/ < Derived from Proto-South-Astiga: hajeno /hajeno/ < Derived from Proto-Astiga: pekina /pekina/,,,
aškę,lip,aʃkɛ̃ː,noun,Derived from Proto-West-Tekat: aškim /aʃkim/ < Derived from Proto-Tekat: aśkȳm /aɕkyːm/ < Derived from Proto-South-Astiga: aksium /aksium/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
išas,penis,iʃas,noun,Derived from Proto-West-Tekat: išas /iʃas/ < Derived from Proto-Tekat: ȳśas /yːɕas/ < Derived from Proto-South-Astiga: hiusos /hiusos/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
alъmi,vagina,alʊmi,noun,Derived from Proto-West-Tekat: alъmi /alʊmi/ < Derived from Proto-Tekat: alumȳ /alumyː/ < Derived from Proto-South-Astiga: alumiu /alumiu/ < Derived from Proto-Astiga: elumū /elumuː/,,,
os,butt,ɔs,noun,Derived from Proto-West-Tekat: os /ɔs/ < Derived from Proto-Tekat: aus /aus/ < Derived from Proto-South-Astiga: ehos /ehos/ < Derived from Proto-Astiga: ipas /ipas/,,,
išamavъr,game,iʃamaʋʊɾ,noun,Derived from Proto-West-Tekat: išamavar /iʃamaʋaɾ/ < Derived from Proto-Tekat: īśomawar /iːɕomawaɾ/ < Derived from Proto-South-Astiga: iasomawaɾ /iasomawaɾ/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
vąda,wind,ʋɑ̃ːda,noun,Derived from Proto-West-Tekat: vanda /ʋanda/ < Derived from Proto-Tekat: wanda /wanda/ < Derived from Proto-South-Astiga: wanda /wanda/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
ašjir,sight,aʃjiɾ,noun,Derived from Proto-West-Tekat: ašjir /aʃjiɾ/ < Derived from Proto-Tekat: aśjīr /aɕjiːɾ/ < Derived from Proto-South-Astiga: hasjiaɾ /hasjiaɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
našix,water,naʃix,noun,Derived from Proto-West-Tekat: našix /naʃix/ < Derived from Proto-Tekat: nośīś /noɕiːɕ/ < Derived from Proto-South-Astiga: nosias /nosias/ < Derived from Proto-Astiga: natōs /natoːs/,,,
jaras,fire,jaɾas,noun,Derived from Proto-West-Tekat: jaras /jaɾas/ < Derived from Proto-Tekat: jaras /jaɾas/ < Derived from Proto-South-Astiga: jaɾwas /jaɾwas/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
mera,earth,mɛɾa,noun,Derived from Proto-West-Tekat: mera /mɛɾa/ < Derived from Proto-Tekat: maira /maiɾa/ < Derived from Proto-South-Astiga: majʲɾa /majʲɾa/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
artivěgas,school,aɾtiʋæːgas,noun,Derived from Proto-West-Tekat: artivěgas /aɾtiʋægas/ < Derived from Proto-Tekat: ortȳwēgas /oɾtyːweːgas/ < Derived from Proto-South-Astiga: oɾtiuwiegas /oɾtiuwiegas/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
avьnix,student,aʋɨnix,noun,Derived from Proto-West-Tekat: avьnix /aʋɨnix/ < Derived from Proto-Tekat: awinȳś /awinyːɕ/ < Derived from Proto-South-Astiga: awinius /awinius/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
kirь,language,kiɾɨ,noun,Derived from Proto-West-Tekat: kirь /kiɾɨ/ < Derived from Proto-Tekat: kȳre /kyːɾe/ < Derived from Proto-South-Astiga: kiuɾe /kiuɾe/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
šьrnъ,tongue,ʃɨɾnʊ,noun,Derived from Proto-West-Tekat: šьrnъ /ʃɨɾnʊ/ < Derived from Proto-Tekat: śirnu /ɕiɾnu/ < Derived from Proto-South-Astiga: siɾnu /siɾnu/ < Derived from Proto-Astiga: seinru /seinɾu/,,,
ěsъr,plains,æːsʊɾ,noun,Derived from Proto-West-Tekat: ajasar /ajasaɾ/ < Derived from Proto-Tekat: ajasar /ajasaɾ/ < Derived from Proto-South-Astiga: ajasaɾ /ajasaɾ/ < Derived from Proto-Astiga: okautŕ /okautɾ̩/,,,
tišmě,mountain,tiʃmæː,noun,Derived from Proto-West-Tekat: tišmě /tiʃmæ/ < Derived from Proto-Tekat: tīśmē /tiːɕmeː/ < Derived from Proto-South-Astiga: tiamsie /tiamsie/ < Derived from Proto-Astiga: kʲōmsī /kʲoːmsiː/,,,
arę,hair,aɾɛ̃ː,noun,Derived from Proto-West-Tekat: arim /aɾim/ < Derived from Proto-Tekat: orīm /oɾiːm/ < Derived from Proto-South-Astiga: oɾiam /oɾiam/ < Derived from Proto-Astiga: arjēm /aɾjeːm/,,,
oras,friend,ɔɾas,noun,Derived from Proto-West-Tekat: oras /ɔɾas/ < Derived from Proto-Tekat: auras /auɾas/ < Derived from Proto-South-Astiga: euɾas /euɾas/ < Derived from Proto-Astiga: iuros /iuɾos/,,,
li,way,li,noun,Derived from Proto-West-Tekat: li /li/ < Derived from Proto-Tekat: lei /lei/ < Derived from Proto-South-Astiga: laa /laa/ < Derived from Proto-Astiga: loje /loje/,,,
ъjibъr,semen,ʊjibʊɾ,noun,Derived from Proto-West-Tekat: ъjibar /ʊjibaɾ/ < Derived from Proto-Tekat: ujȳbar /ujyːbaɾ/ < Derived from Proto-South-Astiga: ujiubaɾ /ujiubaɾ/ < Derived from Proto-Astiga: ukāgʷŕ /ukaːgʷɾ̩/,,,
ašitaľigą,pedophile,aʃitaʎigɑ̃ː,noun,Derived from Proto-West-Tekat: ašitaľigam /aʃitalʲigam/ < Derived from Proto-Tekat: aśȳtalrȳgam /aɕyːtalɾyːgam/ < Derived from Proto-South-Astiga: asiutaɾliugom /asiutaɾliugom/ < Derived from Proto-Astiga: etūkʲĺrādʷam /etuːkʲl̩ɾaːdʷam/,,,
tagą,follower,tagɑ̃ː,noun,Derived from Proto-West-Tekat: tagam /tagam/ < Derived from Proto-Tekat: tagam /tagam/ < Derived from Proto-South-Astiga: tagom /tagom/ < Derived from Proto-Astiga: kʲodʷam /kʲodʷam/,,,
bastǫ,thing,bastɔ̃ː,noun,Derived from Proto-West-Tekat: bastъn /bastʊn/ < Derived from Proto-Tekat: bastun /bastun/ < Derived from Proto-South-Astiga: bastun /bastun/ < Derived from Proto-Astiga: gʷśkʲun /gʷs̩kʲun/,,,
ravik,card,ɾaʋik,noun,Derived from Proto-West-Tekat: ravik /ɾaʋik/ < Derived from Proto-Tekat: rawīk /ɾawiːk/ < Derived from Proto-South-Astiga: ɾawiak /ɾawiak/ < Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,Use as a gift or transaction,,
ašь,baby,aʃɨ,noun,Derived from Proto-West-Tekat: ašь /aʃɨ/ < Derived from Proto-Tekat: aśe /aɕe/ < Derived from Proto-South-Astiga: asse /asse/ < Derived from Proto-Astiga: śti /s̩ti/,,,
