Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
æzam,man,æzam,noun,Derived from Proto-West-Tekat: ězam /æzam/ < Derived from Proto-Tekat: ēzam /eːzam/ < Derived from Proto-South-Astiga: iesdom /iesdom/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tiɾas,woman,tiɾas,noun,Derived from Proto-West-Tekat: tiras /tiɾas/ < Derived from Proto-Tekat: tīras /tiːɾas/ < Derived from Proto-South-Astiga: tiaɾwos /tiaɾwos/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ɾi,person,ɾi,noun,Derived from Proto-West-Tekat: ri /ɾi/ < Derived from Proto-Tekat: rī /ɾiː/ < Derived from Proto-South-Astiga: ɾia /ɾia/ < Derived from Proto-Astiga: rē /ɾeː/,,,
aʃkʊ,boy,aʃkʊ,noun,Derived from Proto-West-Tekat: aškъ /aʃkʊ/ < Derived from Proto-Tekat: ośku /oɕku/ < Derived from Proto-South-Astiga: oksu /oksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
jaʃɾɨ,girl,jaʃɾɨ,noun,Derived from Proto-West-Tekat: jašrь /jaʃɾɨ/ < Derived from Proto-Tekat: jaśre /jaɕɾe/ < Derived from Proto-South-Astiga: jaɾse /jaɾse/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
aʃimas,child,aʃimas,noun,Derived from Proto-West-Tekat: ašimas /aʃimas/ < Derived from Proto-Tekat: aśȳmas /aɕyːmas/ < Derived from Proto-South-Astiga: asiumas /asiumas/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
jaɾʊ,head,jaɾʊ,noun,Derived from Proto-West-Tekat: jarъ /jaɾʊ/ < Derived from Proto-Tekat: jaro /jaɾo/ < Derived from Proto-South-Astiga: jaɾo /jaɾo/ < Derived from Proto-Astiga: kerra /kera/,,,
ʋaspas,shoulder,ʋaspas,noun,Derived from Proto-West-Tekat: vaspas /ʋaspas/ < Derived from Proto-Tekat: waspas /waspas/ < Derived from Proto-South-Astiga: wopsos /wopsos/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ʊlin,knee,ʊlin,noun,Derived from Proto-West-Tekat: ъlin /ʊlin/ < Derived from Proto-Tekat: ulīn /uliːn/ < Derived from Proto-South-Astiga: ulian /ulian/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
imaɾɨ,toe,imaɾɨ,noun,Derived from Proto-West-Tekat: imarь /imaɾɨ/ < Derived from Proto-Tekat: īmare /iːmaɾe/ < Derived from Proto-South-Astiga: iamaɾe /iamaɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
ninit,hand,ninit,noun,Derived from Proto-West-Tekat: ninit /ninit/ < Derived from Proto-Tekat: nȳnȳt /nyːnyːt/ < Derived from Proto-South-Astiga: niuwniut /niuwniut/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ɛdnɨ,foot,ɛdnɨ,noun,Derived from Proto-West-Tekat: ednь /ɛdnɨ/ < Derived from Proto-Tekat: edne /edne/ < Derived from Proto-South-Astiga: enne /enne/ < Derived from Proto-Astiga: inni /inni/,,,
jalnas,leg,jalnas,noun,Derived from Proto-West-Tekat: jalnas /jalnas/ < Derived from Proto-Tekat: jalnas /jalnas/ < Derived from Proto-South-Astiga: janlos /janlos/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
tasa,arm,tasa,noun,Derived from Proto-West-Tekat: tasa /tasa/ < Derived from Proto-Tekat: tasa /tasa/ < Derived from Proto-South-Astiga: tasa /tasa/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
aʃæ,eye,aʃæ,noun,Derived from Proto-West-Tekat: ašě /aʃæ/ < Derived from Proto-Tekat: aśē /aɕeː/ < Derived from Proto-South-Astiga: hassie /hassie/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
maɾtʊ,ear,maɾtʊ,noun,Derived from Proto-West-Tekat: martъ /maɾtʊ/ < Derived from Proto-Tekat: marto /maɾto/ < Derived from Proto-South-Astiga: maɾto /maɾto/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tʊnd,mouth,tʊnd,noun,Derived from Proto-West-Tekat: tъnd /tʊnd/ < Derived from Proto-Tekat: tund /tund/ < Derived from Proto-South-Astiga: tund /tund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
saʋaɾi,nose,saʋaɾi,noun,Derived from Proto-West-Tekat: savari /saʋaɾi/ < Derived from Proto-Tekat: sawarī /sawaɾiː/ < Derived from Proto-South-Astiga: sawaɾia /sawaɾia/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
astaɾʊ,cheek,astaɾʊ,noun,Derived from Proto-West-Tekat: astarъ /astaɾʊ/ < Derived from Proto-Tekat: astaru /astaɾu/ < Derived from Proto-South-Astiga: astaɾu /astaɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nʊniɾ,forehead,nʊniɾ,noun,Derived from Proto-West-Tekat: nъnir /nʊniɾ/ < Derived from Proto-Tekat: nunīr /nuniːɾ/ < Derived from Proto-South-Astiga: nuniaɾ /nuniaɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabagas,elbow,nabagas,noun,Derived from Proto-West-Tekat: nabagas /nabagas/ < Derived from Proto-Tekat: nabagas /nabagas/ < Derived from Proto-South-Astiga: nabagas /nabagas/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
ajɛnʊ,chin,ajɛnʊ,noun,Derived from Proto-West-Tekat: ajenъ /ajɛnʊ/ < Derived from Proto-Tekat: ajeno /ajeno/ < Derived from Proto-South-Astiga: hajeno /hajeno/ < Derived from Proto-Astiga: pekina /pekina/,,,
aʃkim,lip,aʃkim,noun,Derived from Proto-West-Tekat: aškim /aʃkim/ < Derived from Proto-Tekat: aśkȳm /aɕkyːm/ < Derived from Proto-South-Astiga: aksium /aksium/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
iʃas,penis,iʃas,noun,Derived from Proto-West-Tekat: išas /iʃas/ < Derived from Proto-Tekat: ȳśas /yːɕas/ < Derived from Proto-South-Astiga: hiusos /hiusos/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
alʊmi,vagina,alʊmi,noun,Derived from Proto-West-Tekat: alъmi /alʊmi/ < Derived from Proto-Tekat: alumȳ /alumyː/ < Derived from Proto-South-Astiga: alumiu /alumiu/ < Derived from Proto-Astiga: elumū /elumuː/,,,
ɔs,butt,ɔs,noun,Derived from Proto-West-Tekat: os /ɔs/ < Derived from Proto-Tekat: aus /aus/ < Derived from Proto-South-Astiga: ehos /ehos/ < Derived from Proto-Astiga: ipas /ipas/,,,
