Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
áti,man,aːti,noun,Derived from Old North Milavirú: áti /aːtɪ/ < Derived from Ancient Milavirú: áti /aːtɪ/ < Derived from Proto-South-Insular-Astiga: áta̱ /aːtə/ < Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
súrati,woman,s̠uːɾati,noun,Derived from Old North Milavirú: súrati /s̠uːɾatɪ/ < Derived from Ancient Milavirú: súrati /s̠uːɾätɪ/ < Derived from Proto-South-Insular-Astiga: súrata̱ /suːɾatə/ < Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
rí,person,ɾiː,noun,Derived from Old North Milavirú: rí /ɾiː/ < Derived from Ancient Milavirú: rí /ɾiː/ < Derived from Proto-South-Insular-Astiga: rí /ɾiː/ < Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
azo,boy,asɔ,noun,Derived from Old North Milavirú: azo /asɒ/ < Derived from Ancient Milavirú: azo /äsɒ/ < Derived from Proto-South-Insular-Astiga: axo /aʃɔ/ < Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kerao,girl,kɛɾaɔ,noun,Derived from Old North Milavirú: kiraha /kɪɾaɦa/ < Derived from Ancient Milavirú: kiraxa /kɪɾäʔä/ < Derived from Proto-South-Insular-Astiga: ka̱raha /kəɾaha/ < Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
aí,child,aiː,noun,Derived from Old North Milavirú: ahíf /aɦiːf/ < Derived from Ancient Milavirú: axíf /äʔiːf/ < Derived from Proto-South-Insular-Astiga: ahíf /ahiːf/ < Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kao,head,kaɔ,noun,Derived from Old North Milavirú: kao /kaɒ/ < Derived from Ancient Milavirú: kao /käɒ/ < Derived from Proto-South-Insular-Astiga: kao /kaɔ/ < Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
ahati,shoulder,ahati,noun,Derived from Old North Milavirú: afati /afatɪ/ < Derived from Ancient Milavirú: afati /äfätɪ/ < Derived from Proto-South-Insular-Astiga: afata̱ /afatə/ < Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
olí,knee,ɔliː,noun,Derived from Old North Milavirú: olí /ɒlʲiː/ < Derived from Ancient Milavirú: olí /ɒliː/ < Derived from Proto-South-Insular-Astiga: olí /ɔliː/ < Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
ímora,toe,iːmɔɾa,noun,Derived from Old North Milavirú: ímora /iːmɒɾa/ < Derived from Ancient Milavirú: ímora /iːmɒɾä/ < Derived from Proto-South-Insular-Astiga: ímora /iːmɔɾa/ < Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
