Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
aːtɪ,man,aːtɪ,noun,Derived from Old North Milavirú: áti /aːtɪ/ < Derived from Ancient Milavirú: áti /aːtɪ/ < Derived from Proto-South-Insular-Astiga: áta̱ /aːtə/ < Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
s̠uːɾatɪ,woman,s̠uːɾatɪ,noun,Derived from Old North Milavirú: súrati /s̠uːɾatɪ/ < Derived from Ancient Milavirú: súrati /s̠uːɾätɪ/ < Derived from Proto-South-Insular-Astiga: súrata̱ /suːɾatə/ < Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ɾiː,person,ɾiː,noun,Derived from Old North Milavirú: rí /ɾiː/ < Derived from Ancient Milavirú: rí /ɾiː/ < Derived from Proto-South-Insular-Astiga: rí /ɾiː/ < Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
asɒ,boy,asɒ,noun,Derived from Old North Milavirú: azo /asɒ/ < Derived from Ancient Milavirú: azo /äsɒ/ < Derived from Proto-South-Insular-Astiga: axo /aʃɔ/ < Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kɪɾaɦa,girl,kɪɾaɦa,noun,Derived from Old North Milavirú: kiraha /kɪɾaɦa/ < Derived from Ancient Milavirú: kiraxa /kɪɾäʔä/ < Derived from Proto-South-Insular-Astiga: ka̱raha /kəɾaha/ < Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
aɦiːf,child,aɦiːf,noun,Derived from Old North Milavirú: ahíf /aɦiːf/ < Derived from Ancient Milavirú: axíf /äʔiːf/ < Derived from Proto-South-Insular-Astiga: ahíf /ahiːf/ < Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kaɒ,head,kaɒ,noun,Derived from Old North Milavirú: kao /kaɒ/ < Derived from Ancient Milavirú: kao /käɒ/ < Derived from Proto-South-Insular-Astiga: kao /kaɔ/ < Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
afatɪ,shoulder,afatɪ,noun,Derived from Old North Milavirú: afati /afatɪ/ < Derived from Ancient Milavirú: afati /äfätɪ/ < Derived from Proto-South-Insular-Astiga: afata̱ /afatə/ < Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ɒlʲiː,knee,ɒlʲiː,noun,Derived from Old North Milavirú: olí /ɒlʲiː/ < Derived from Ancient Milavirú: olí /ɒliː/ < Derived from Proto-South-Insular-Astiga: olí /ɔliː/ < Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
iːmɒɾa,toe,iːmɒɾa,noun,Derived from Old North Milavirú: ímora /iːmɒɾa/ < Derived from Ancient Milavirú: ímora /iːmɒɾä/ < Derived from Proto-South-Insular-Astiga: ímora /iːmɔɾa/ < Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nuːnuːs̠,hand,nuːnuːs̠,noun,Derived from Old North Milavirú: núnús /nuːnuːs̠/ < Derived from Ancient Milavirú: núnús /nuːnuːs̠/ < Derived from Proto-South-Insular-Astiga: núnús /nuːnuːs/ < Derived from Proto-Insular-Astiga: nōnōs /nɔːnɔːs/ < Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ana,foot,ana,noun,Derived from Old North Milavirú: ana /ana/ < Derived from Ancient Milavirú: ana /änä/ < Derived from Proto-South-Insular-Astiga: ana /ana/ < Derived from Proto-Insular-Astiga: ene /ɛnɛ/ < Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
kɪnaɒ,leg,kɪnaɒ,noun,Derived from Old North Milavirú: kinao /kɪnaɒ/ < Derived from Ancient Milavirú: kinao /kɪnäɒ/ < Derived from Proto-South-Insular-Astiga: ka̱nao /kənaɔ/ < Derived from Proto-Insular-Astiga: knala /knaɫa/ < Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
s̠aɦɪ,arm,s̠aɦɪ,noun,Derived from Old North Milavirú: sahi /s̠aɦɪ/ < Derived from Ancient Milavirú: saxi /s̠äʔɪ/ < Derived from Proto-South-Insular-Astiga: saha̱ /sahə/ < Derived from Proto-Insular-Astiga: saða /saða/ < Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
faɦaː,eye,faɦaː,noun,Derived from Old North Milavirú: fahá /faɦaː/ < Derived from Ancient Milavirú: faxá /fäʔaː/ < Derived from Proto-South-Insular-Astiga: fahá /fahaː/ < Derived from Proto-Insular-Astiga: phaðėa /phaðea/ < Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mɪɾas̠,ear,mɪɾas̠,noun,Derived from Old North Milavirú: miras /mɪɾas̠/ < Derived from Ancient Milavirú: miras /mɪɾäs̠/ < Derived from Proto-South-Insular-Astiga: ma̱ras /məɾas/ < Derived from Proto-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
s̠ɒntɪ,mouth,s̠ɒntɪ,noun,Derived from Old North Milavirú: sonti /s̠ɒntɪ/ < Derived from Ancient Milavirú: sonti /s̠ɒntɪ/ < Derived from Proto-South-Insular-Astiga: sonta̱ /sɔntə/ < Derived from Proto-Insular-Astiga: sund /sʊnd/ < Derived from Proto-North-Astiga: śund /ɕund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
