Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ãiskem,man,ʌiskɛm,noun,Derived from Old Esti: iiskem /ɪiskɛm/ < Derived from Classical Esti: īsgam /iːsgæm/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
čourueh,woman,t͡ʃouɾwɛh,noun,Derived from Old Esti: ćōrwet /t͡ɕoːɾwɛt/ < Derived from Classical Esti: cōrvat /coːɾwæt/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
notoukour,person,notoukouɾ,noun,Derived from Old Esti: notōkōr /nɔtoːkoːɾ/ < Derived from Classical Esti: nətōkōr /nətoːkoːɾ/ < Derived from Proto-Astiga: ńtōkōr /n̩toːkoːɾ/,,,
esko,boy,ɛsko,noun,Derived from Old Esti: ekso /ɛksɔ/ < Derived from Classical Esti: akso /æksɔ/ < Derived from Proto-Astiga: aksu /aksu/,,,
kroti,girl,kɾotɪ,noun,Derived from Old Esti: kroti /kɾɔtɪ/ < Derived from Classical Esti: krətə /kɾətə/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
itãumsi,child,ɪtʌumsɪ,noun,Derived from Old Esti: itəumsi /ɪtəumsɪ/ < Derived from Classical Esti: itūmsə /ɪtuːmsə/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kiθe,head,kɪθɛ,noun,Derived from Old Esti: kithe /kɪtʰɛ/ < Derived from Classical Esti: kitta /kɪtːæ/ < Derived from Proto-Astiga: kerra /kera/,,,
vespeh,shoulder,βɛspɛh,noun,Derived from Old Esti: wepset /wɛpsɛt/ < Derived from Classical Esti: vapsat /wæpsæt/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
olīn,knee,oliːn,noun,Derived from Old Esti: olīn /ɔliːn/ < Derived from Classical Esti: olēn /ɔleːn/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
īmari,toe,iːmaɾɪ,noun,Derived from Old Esti: īmari /iːmaɾɪ/ < Derived from Classical Esti: ēmârə /eːmɑɾə/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nōmnōč,hand,nɔːmɾ̃ɔːt͡ʃ,noun,Derived from Old Esti: nāmnāć /nɒːmnɒːt͡ɕ/ < Derived from Classical Esti: nāmnāc /naːmnaːc/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
odni,foot,od̚nɪ,noun,Derived from Old Esti: odni /ɔd̚nɪ/ < Derived from Classical Esti: ənnə /ənnə/ < Derived from Proto-Astiga: inni /inni/,,,
knoleh,leg,kɾ̃olɛh,noun,Derived from Old Esti: knoles /knɔlɛs/ < Derived from Classical Esti: knəlas /knəlæs/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
čiti,arm,t͡ʃɪtɪ,noun,Derived from Old Esti: ćiti /t͡ɕɪtɪ/ < Derived from Classical Esti: citi /cɪtɪ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
fotãi,eye,ɸotʌi,noun,Derived from Old Esti: photii /pʰɔtɪi/ < Derived from Classical Esti: psətī /psətiː/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mroče,ear,mɾot͡ʃɛ,noun,Derived from Old Esti: mroće /mɾɔt͡ɕɛ/ < Derived from Classical Esti: mrəca /mɾəcæ/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
čom,mouth,t͡ʃom,noun,Derived from Old Esti: ćong /t͡ɕɔŋ/ < Derived from Classical Esti: cong /cɔng/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tauirī,nose,tawɪɾiː,noun,Derived from Old Esti: tawirī /tawɪɾiː/ < Derived from Classical Esti: tâvirē /tɑwɪɾeː/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
sočaro,cheek,sot͡ʃaɾo,noun,Derived from Old Esti: soćaro /sɔt͡ɕaɾɔ/ < Derived from Classical Esti: səcâro /səcɑɾɔ/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nonīr,forehead,noniːɾ,noun,Derived from Old Esti: nonīr /nɔniːɾ/ < Derived from Classical Esti: nonēr /nɔneːɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabiski,elbow,nabɪskɪ,noun,Derived from Old Esti: nabigsi /nabɪgsɪ/ < Derived from Classical Esti: nâbigsə /nɑbɪgsə/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
