Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
iiskem,man,ɪiskɛm,noun,Derived from Classical Esti: īsgam /iːsgæm/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
ćōrwet,woman,t͡ɕoːɾwɛt,noun,Derived from Classical Esti: cōrvat /coːɾwæt/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
notōkōr,person,nɔtoːkoːɾ,noun,Derived from Classical Esti: nətōkōr /nətoːkoːɾ/ < Derived from Proto-Astiga: ńtōkōr /n̩toːkoːɾ/,,,
ekso,boy,ɛksɔ,noun,Derived from Classical Esti: akso /æksɔ/ < Derived from Proto-Astiga: aksu /aksu/,,,
kroti,girl,kɾɔtɪ,noun,Derived from Classical Esti: krətə /kɾətə/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
itəumsi,child,ɪtəumsɪ,noun,Derived from Classical Esti: itūmsə /ɪtuːmsə/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kithe,head,kɪtʰɛ,noun,Derived from Classical Esti: kitta /kɪtːæ/ < Derived from Proto-Astiga: kerra /kera/,,,
wepset,shoulder,wɛpsɛt,noun,Derived from Classical Esti: vapsat /wæpsæt/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
olīn,knee,ɔliːn,noun,Derived from Classical Esti: olēn /ɔleːn/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
īmari,toe,iːmaɾɪ,noun,Derived from Classical Esti: ēmârə /eːmɑɾə/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nāmnāć,hand,nɒːmnɒːt͡ɕ,noun,Derived from Classical Esti: nāmnāc /naːmnaːc/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
odni,foot,ɔd̚nɪ,noun,Derived from Classical Esti: ənnə /ənnə/ < Derived from Proto-Astiga: inni /inni/,,,
knoles,leg,knɔlɛs,noun,Derived from Classical Esti: knəlas /knəlæs/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
ćiti,arm,t͡ɕɪtɪ,noun,Derived from Classical Esti: citi /cɪtɪ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
photii,eye,pʰɔtɪi,noun,Derived from Classical Esti: psətī /psətiː/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mroće,ear,mɾɔt͡ɕɛ,noun,Derived from Classical Esti: mrəca /mɾəcæ/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
ćong,mouth,t͡ɕɔŋ,noun,Derived from Classical Esti: cong /cɔng/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tawirī,nose,tawɪɾiː,noun,Derived from Classical Esti: tâvirē /tɑwɪɾeː/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
soćaro,cheek,sɔt͡ɕaɾɔ,noun,Derived from Classical Esti: səcâro /səcɑɾɔ/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nonīr,forehead,nɔniːɾ,noun,Derived from Classical Esti: nonēr /nɔneːɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabigsi,elbow,nabɪgsɪ,noun,Derived from Classical Esti: nâbigsə /nɑbɪgsə/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pikone,chin,pɪkɔnɛ,noun,Derived from Classical Esti: pikəna /pɪkənæ/ < Derived from Proto-Astiga: pekina /pekina/,,,
akhəum,lip,akʰəum,noun,Derived from Classical Esti: âksūm /ɑksuːm/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
pāset,penis,pɒːsɛt,noun,Derived from Classical Esti: pāsat /paːsæt/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
iloməu,vagina,ɪlɔməu,noun,Derived from Classical Esti: ilomū /ɪlɔmuː/ < Derived from Proto-Astiga: elumū /elumuː/,,,
opes,butt,ɔpɛs,noun,Derived from Classical Esti: əpas /əpæs/ < Derived from Proto-Astiga: ipas /ipas/,,,
ītemiwri,game,iːtɛmɪwɾɪ,noun,Derived from Classical Esti: ētamivrə /eːtæmɪwɾə/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
mnoga,wind,mnɔga,noun,Derived from Classical Esti: mnəgâ /mnəgɑ/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
phokīr,sight,pʰɔkiːɾ,noun,Derived from Classical Esti: psəkēr /psəkeːɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
netōs,water,nɛtoːs,noun,Derived from Classical Esti: natōs /nætoːs/ < Derived from Proto-Astiga: natōs /natoːs/,,,
krowas,fire,kɾɔwas,noun,Derived from Classical Esti: krəvâs /kɾəwɑs/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
mićreō,earth,mɪt͡ɕɾeoː,noun,Derived from Classical Esti: micrjō /mɪcɾjoː/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
