Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ēsgem,man,eːsgɛm,noun,Derived from Classical Esti: īsgam /iːsgæm/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tūngue',woman,tuːnɡʷɛʔ,noun,Derived from Classical Esti: cōrvat /coːɾwæt/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
netūkūr,person,nɛtuːkuːɾ,noun,Derived from Classical Esti: nətōkōr /nətoːkoːɾ/ < Derived from Proto-Astiga: ńtōkōr /n̩toːkoːɾ/,,,
eksa,boy,ɛksɑ,noun,Derived from Classical Esti: akso /æksɔ/ < Derived from Proto-Astiga: aksu /aksu/,,,
krete,girl,kɾɛtɛ,noun,Derived from Classical Esti: krətə /kɾətə/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
etūbze,child,ɛtuːbzɛ,noun,Derived from Classical Esti: itūmsə /ɪtuːmsə/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kente,head,kɛntɛ,noun,Derived from Classical Esti: kitta /kɪtːæ/ < Derived from Proto-Astiga: kerra /kera/,,,
guepse',shoulder,ɡʷɛpsɛʔ,noun,Derived from Classical Esti: vapsat /wæpsæt/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
alīn,knee,ɑliːn,noun,Derived from Classical Esti: olēn /ɔleːn/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
īmore,toe,iːmɔɾɛ,noun,Derived from Classical Esti: ēmârə /eːmɑɾə/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nābnāt,hand,naːbnaːt,noun,Derived from Classical Esti: nāmnāc /naːmnaːc/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
egne,foot,ɛɡnɛ,noun,Derived from Classical Esti: ənnə /ənnə/ < Derived from Proto-Astiga: inni /inni/,,,
kneles,leg,knɛlɛs,noun,Derived from Classical Esti: knəlas /knəlæs/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
tete,arm,tɛtɛ,noun,Derived from Classical Esti: citi /cɪtɪ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
psetē,eye,psɛteː,noun,Derived from Classical Esti: psətī /psətiː/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
brete,ear,bɾɛtɛ,noun,Derived from Classical Esti: mrəca /mɾəcæ/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tang,mouth,tɑng,noun,Derived from Classical Esti: cong /cɔng/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
toguerī,nose,tɔɡʷɛɾiː,noun,Derived from Classical Esti: tâvirē /tɑwɪɾeː/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
setora,cheek,sɛtɔɾɑ,noun,Derived from Classical Esti: səcâro /səcɑɾɔ/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nanīr,forehead,nɑniːɾ,noun,Derived from Classical Esti: nonēr /nɔneːɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nobegze,elbow,nɔbɛgzɛ,noun,Derived from Classical Esti: nâbigsə /nɑbɪgsə/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pekene,chin,pɛkɛnɛ,noun,Derived from Classical Esti: pikəna /pɪkənæ/ < Derived from Proto-Astiga: pekina /pekina/,,,
oksūm,lip,ɔksuːm,noun,Derived from Classical Esti: âksūm /ɑksuːm/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
pāse',penis,paːsɛʔ,noun,Derived from Classical Esti: pāsat /paːsæt/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
elamū,vagina,ɛlɑmuː,noun,Derived from Classical Esti: ilomū /ɪlɔmuː/ < Derived from Proto-Astiga: elumū /elumuː/,,,
epes,butt,ɛpɛs,noun,Derived from Classical Esti: əpas /əpæs/ < Derived from Proto-Astiga: ipas /ipas/,,,
ītemegure,game,iːtɛmɛɡʷɾɛ,noun,Derived from Classical Esti: ētamivrə /eːtæmɪwɾə/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
bnego,wind,bnɛgɔ,noun,Derived from Classical Esti: mnəgâ /mnəgɑ/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
psekīr,sight,psɛkiːɾ,noun,Derived from Classical Esti: psəkēr /psəkeːɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
netūs,water,nɛtuːs,noun,Derived from Classical Esti: natōs /nætoːs/ < Derived from Proto-Astiga: natōs /natoːs/,,,
kreguos,fire,kɾɛɡʷɔs,noun,Derived from Classical Esti: krəvâs /kɾəwɑs/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
metriū,earth,mɛtɾjuː,noun,Derived from Classical Esti: micrjō /mɪcɾjoː/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
etrāguēgze,school,ɛtɾaːɡʷeːgzɛ,noun,Derived from Classical Esti: atrāvīgsə /ætɾaːwiːgsə/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
iūguīnūs,student,juːɡʷiːnuːs,noun,Derived from Classical Esti: jōvēnūs /joːweːnuːs/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
tānte,language,taːntɛ,noun,Derived from Classical Esti: cāttə /caːtːə/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
sīnra,tongue,siːnɾɑ,noun,Derived from Classical Esti: sēnro /seːnɾɔ/ < Derived from Proto-Astiga: seinru /seinɾu/,,,
