Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
áti,man,aːtɪ,noun,Derived from Ancient Milavirú: áti /aːtɪ/ < Derived from Proto-South-Insular-Astiga: áta̱ /aːtə/ < Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
súrati,woman,s̠uːɾatɪ,noun,Derived from Ancient Milavirú: súrati /s̠uːɾätɪ/ < Derived from Proto-South-Insular-Astiga: súrata̱ /suːɾatə/ < Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
rí,person,ɾiː,noun,Derived from Ancient Milavirú: rí /ɾiː/ < Derived from Proto-South-Insular-Astiga: rí /ɾiː/ < Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
azo,boy,asɒ,noun,Derived from Ancient Milavirú: azo /äsɒ/ < Derived from Proto-South-Insular-Astiga: axo /aʃɔ/ < Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kiraha,girl,kɪɾaɦa,noun,Derived from Ancient Milavirú: kiraxa /kɪɾäʔä/ < Derived from Proto-South-Insular-Astiga: ka̱raha /kəɾaha/ < Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
ahíf,child,aɦiːf,noun,Derived from Ancient Milavirú: axíf /äʔiːf/ < Derived from Proto-South-Insular-Astiga: ahíf /ahiːf/ < Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kao,head,kaɒ,noun,Derived from Ancient Milavirú: kao /käɒ/ < Derived from Proto-South-Insular-Astiga: kao /kaɔ/ < Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
afati,shoulder,afatɪ,noun,Derived from Ancient Milavirú: afati /äfätɪ/ < Derived from Proto-South-Insular-Astiga: afata̱ /afatə/ < Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
olí,knee,ɒlʲiː,noun,Derived from Ancient Milavirú: olí /ɒliː/ < Derived from Proto-South-Insular-Astiga: olí /ɔliː/ < Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
ímora,toe,iːmɒɾa,noun,Derived from Ancient Milavirú: ímora /iːmɒɾä/ < Derived from Proto-South-Insular-Astiga: ímora /iːmɔɾa/ < Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
núnús,hand,nuːnuːs̠,noun,Derived from Ancient Milavirú: núnús /nuːnuːs̠/ < Derived from Proto-South-Insular-Astiga: núnús /nuːnuːs/ < Derived from Proto-Insular-Astiga: nōnōs /nɔːnɔːs/ < Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ana,foot,ana,noun,Derived from Ancient Milavirú: ana /änä/ < Derived from Proto-South-Insular-Astiga: ana /ana/ < Derived from Proto-Insular-Astiga: ene /ɛnɛ/ < Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
kinao,leg,kɪnaɒ,noun,Derived from Ancient Milavirú: kinao /kɪnäɒ/ < Derived from Proto-South-Insular-Astiga: ka̱nao /kənaɔ/ < Derived from Proto-Insular-Astiga: knala /knaɫa/ < Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
sahi,arm,s̠aɦɪ,noun,Derived from Ancient Milavirú: saxi /s̠äʔɪ/ < Derived from Proto-South-Insular-Astiga: saha̱ /sahə/ < Derived from Proto-Insular-Astiga: saða /saða/ < Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
fahá,eye,faɦaː,noun,Derived from Ancient Milavirú: faxá /fäʔaː/ < Derived from Proto-South-Insular-Astiga: fahá /fahaː/ < Derived from Proto-Insular-Astiga: phaðėa /phaðea/ < Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
miras,ear,mɪɾas̠,noun,Derived from Ancient Milavirú: miras /mɪɾäs̠/ < Derived from Proto-South-Insular-Astiga: ma̱ras /məɾas/ < Derived from Proto-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
sonti,mouth,s̠ɒntɪ,noun,Derived from Ancient Milavirú: sonti /s̠ɒntɪ/ < Derived from Proto-South-Insular-Astiga: sonta̱ /sɔntə/ < Derived from Proto-Insular-Astiga: sund /sʊnd/ < Derived from Proto-North-Astiga: śund /ɕund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tárí,nose,taːɾiː,noun,Derived from Ancient Milavirú: tárí /taːɾiː/ < Derived from Proto-South-Insular-Astiga: tárí /taːɾiː/ < Derived from Proto-Insular-Astiga: toarē /tɔaɾɛː/ < Derived from Proto-North-Astiga: toerei /tɔɛɾɛi/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
asoro,cheek,as̠ɒɾɒ,noun,Derived from Ancient Milavirú: asoro /äs̠ɒɾɒ/ < Derived from Proto-South-Insular-Astiga: hasoro /hasɔɾɔ/ < Derived from Proto-Insular-Astiga: hasoru /hasɔɾʊ/ < Derived from Proto-North-Astiga: saśoru /saɕɔɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
noníri,forehead,nɒnʲiːɾɪ,noun,Derived from Ancient Milavirú: noníri /nɒniːɾɪ/ < Derived from Proto-South-Insular-Astiga: noníra̱ /nɔniːɾə/ < Derived from Proto-Insular-Astiga: nunēr /nʊnɛːɾ/ < Derived from Proto-North-Astiga: nuneir /nunɛiɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nokas,elbow,nɒkas̠,noun,Derived from Ancient Milavirú: nokas /nɒkäs̠/ < Derived from Proto-South-Insular-Astiga: nokas /nɔkas/ < Derived from Proto-Insular-Astiga: nogadha /nɔgadha/ < Derived from Proto-North-Astiga: nogedsa /nɔgɛdsa/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pazan,chin,pasan,noun,Derived from Ancient Milavirú: payan /päʝän/ < Derived from Proto-South-Insular-Astiga: payan /pajan/ < Derived from Proto-Insular-Astiga: paɣena /paɣɛna/ < Derived from Proto-North-Astiga: pekėna /pɛkena/ < Derived from Proto-Astiga: pekina /pekina/,,,
ozí,lip,ɒsiː,noun,Derived from Ancient Milavirú: ozí /ɒsiː/ < Derived from Proto-South-Insular-Astiga: oxí /ɔʃiː/ < Derived from Proto-Insular-Astiga: okhē /ɔkhɛː/ < Derived from Proto-North-Astiga: oksuen /ɔksuɛn/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
púhati,penis,puːɦatɪ,noun,Derived from Ancient Milavirú: púxati /puːʔätɪ/ < Derived from Proto-South-Insular-Astiga: púhata̱ /puːhatə/ < Derived from Proto-Insular-Astiga: pōhat /pɔːhat/ < Derived from Proto-North-Astiga: pausat /pausat/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
alomí,vagina,alɒmiː,noun,Derived from Ancient Milavirú: alomí /älɒmiː/ < Derived from Proto-South-Insular-Astiga: alomí /alɔmiː/ < Derived from Proto-Insular-Astiga: alumē /aɫʊmɛː/ < Derived from Proto-North-Astiga: elumue /ɛlumuɛ/ < Derived from Proto-Astiga: elumū /elumuː/,,,
avi,butt,aʋɪ,noun,Derived from Ancient Milavirú: avi /äʋɪ/ < Derived from Proto-South-Insular-Astiga: awa̱ /awə/ < Derived from Proto-Insular-Astiga: eβa /ɛβa/ < Derived from Proto-North-Astiga: ėpas /epas/ < Derived from Proto-Astiga: ipas /ipas/,,,
íhamari,game,iːɦamaɾɪ,noun,Derived from Ancient Milavirú: íxamari /iːʔämäɾɪ/ < Derived from Proto-South-Insular-Astiga: íhamara̱ /iːhamaɾə/ < Derived from Proto-Insular-Astiga: ēðamara /ɛːðamaɾa/ < Derived from Proto-North-Astiga: eitamera /ɛitamɛɾa/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
nato,wind,natɒ,noun,Derived from Ancient Milavirú: nato /nätɒ/ < Derived from Proto-South-Insular-Astiga: nato /natɔ/ < Derived from Proto-Insular-Astiga: nado /nadɔ/ < Derived from Proto-North-Astiga: nado /nadɔ/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
fazíri,sight,fasiːɾɪ,noun,Derived from Ancient Milavirú: fayíri /fäʝiːɾɪ/ < Derived from Proto-South-Insular-Astiga: fayíra̱ /fajiːɾə/ < Derived from Proto-Insular-Astiga: phaɣēr /phaɣɛːɾ/ < Derived from Proto-North-Astiga: psakeir /psakɛiɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
nahú,water,naɦuː,noun,Derived from Ancient Milavirú: naxú /näʔuː/ < Derived from Proto-South-Insular-Astiga: nahú /nahuː/ < Derived from Proto-Insular-Astiga: naðō /naðɔː/ < Derived from Proto-North-Astiga: nataus /nataus/ < Derived from Proto-Astiga: natōs /natoːs/,,,
kiró,fire,kɪɾoː,noun,Derived from Ancient Milavirú: kiró /kɪɾoː/ < Derived from Proto-South-Insular-Astiga: ka̱ró /kəɾɔː/ < Derived from Proto-Insular-Astiga: krao /kɾaɔ/ < Derived from Proto-North-Astiga: kraos /kɾaɔs/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
mastú,earth,mas̠tuː,noun,Derived from Ancient Milavirú: mastú /mäs̠tuː/ < Derived from Proto-South-Insular-Astiga: masrú /masɾuː/ < Derived from Proto-Insular-Astiga: masrō /masɾɔː/ < Derived from Proto-North-Astiga: meśrau /mɛɕɾau/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
ahirús,school,aɦɪɾuːs̠,noun,Derived from Ancient Milavirú: axirús /äʔɪɾuːs̠/ < Derived from Proto-South-Insular-Astiga: aha̱rús /ahəɾuːs/ < Derived from Proto-Insular-Astiga: aðrōėadha /aðɾɔːeadha/ < Derived from Proto-North-Astiga: atrauiedsa /atɾauiɛdsa/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
úíní,student,uːiːnʲiː,noun,Derived from Ancient Milavirú: úíní /uːiːniː/ < Derived from Proto-South-Insular-Astiga: úíní /uːiːniː/ < Derived from Proto-Insular-Astiga: ōēnē /ɔːɛːnɛː/ < Derived from Proto-North-Astiga: aueinues /auɛinuɛs/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
súla,language,s̠uːla,noun,Derived from Ancient Milavirú: súla /s̠uːlä/ < Derived from Proto-South-Insular-Astiga: súla /suːla/ < Derived from Proto-Insular-Astiga: sōle /sɔːɫɛ/ < Derived from Proto-North-Astiga: caulė /caule/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
