Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
aːtɪ,man,aːtɪ,noun,Derived from Ancient Milavirú: áti /aːtɪ/ < Derived from Proto-South-Insular-Astiga: áta̱ /aːtə/ < Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
s̠uːɾätɪ,woman,s̠uːɾätɪ,noun,Derived from Ancient Milavirú: súrati /s̠uːɾätɪ/ < Derived from Proto-South-Insular-Astiga: súrata̱ /suːɾatə/ < Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ɾiː,person,ɾiː,noun,Derived from Ancient Milavirú: rí /ɾiː/ < Derived from Proto-South-Insular-Astiga: rí /ɾiː/ < Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
äsɒ,boy,äsɒ,noun,Derived from Ancient Milavirú: azo /äsɒ/ < Derived from Proto-South-Insular-Astiga: axo /aʃɔ/ < Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kɪɾäʔä,girl,kɪɾäʔä,noun,Derived from Ancient Milavirú: kiraxa /kɪɾäʔä/ < Derived from Proto-South-Insular-Astiga: ka̱raha /kəɾaha/ < Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
äʔiːf,child,äʔiːf,noun,Derived from Ancient Milavirú: axíf /äʔiːf/ < Derived from Proto-South-Insular-Astiga: ahíf /ahiːf/ < Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
käɒ,head,käɒ,noun,Derived from Ancient Milavirú: kao /käɒ/ < Derived from Proto-South-Insular-Astiga: kao /kaɔ/ < Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
äfätɪ,shoulder,äfätɪ,noun,Derived from Ancient Milavirú: afati /äfätɪ/ < Derived from Proto-South-Insular-Astiga: afata̱ /afatə/ < Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ɒliː,knee,ɒliː,noun,Derived from Ancient Milavirú: olí /ɒliː/ < Derived from Proto-South-Insular-Astiga: olí /ɔliː/ < Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
iːmɒɾä,toe,iːmɒɾä,noun,Derived from Ancient Milavirú: ímora /iːmɒɾä/ < Derived from Proto-South-Insular-Astiga: ímora /iːmɔɾa/ < Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nuːnuːs̠,hand,nuːnuːs̠,noun,Derived from Ancient Milavirú: núnús /nuːnuːs̠/ < Derived from Proto-South-Insular-Astiga: núnús /nuːnuːs/ < Derived from Proto-Insular-Astiga: nōnōs /nɔːnɔːs/ < Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
änä,foot,änä,noun,Derived from Ancient Milavirú: ana /änä/ < Derived from Proto-South-Insular-Astiga: ana /ana/ < Derived from Proto-Insular-Astiga: ene /ɛnɛ/ < Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
kɪnäɒ,leg,kɪnäɒ,noun,Derived from Ancient Milavirú: kinao /kɪnäɒ/ < Derived from Proto-South-Insular-Astiga: ka̱nao /kənaɔ/ < Derived from Proto-Insular-Astiga: knala /knaɫa/ < Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
s̠äʔɪ,arm,s̠äʔɪ,noun,Derived from Ancient Milavirú: saxi /s̠äʔɪ/ < Derived from Proto-South-Insular-Astiga: saha̱ /sahə/ < Derived from Proto-Insular-Astiga: saða /saða/ < Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
fäʔaː,eye,fäʔaː,noun,Derived from Ancient Milavirú: faxá /fäʔaː/ < Derived from Proto-South-Insular-Astiga: fahá /fahaː/ < Derived from Proto-Insular-Astiga: phaðėa /phaðea/ < Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mɪɾäs̠,ear,mɪɾäs̠,noun,Derived from Ancient Milavirú: miras /mɪɾäs̠/ < Derived from Proto-South-Insular-Astiga: ma̱ras /məɾas/ < Derived from Proto-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
s̠ɒntɪ,mouth,s̠ɒntɪ,noun,Derived from Ancient Milavirú: sonti /s̠ɒntɪ/ < Derived from Proto-South-Insular-Astiga: sonta̱ /sɔntə/ < Derived from Proto-Insular-Astiga: sund /sʊnd/ < Derived from Proto-North-Astiga: śund /ɕund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
taːɾiː,nose,taːɾiː,noun,Derived from Ancient Milavirú: tárí /taːɾiː/ < Derived from Proto-South-Insular-Astiga: tárí /taːɾiː/ < Derived from Proto-Insular-Astiga: toarē /tɔaɾɛː/ < Derived from Proto-North-Astiga: toerei /tɔɛɾɛi/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
äs̠ɒɾɒ,cheek,äs̠ɒɾɒ,noun,Derived from Ancient Milavirú: asoro /äs̠ɒɾɒ/ < Derived from Proto-South-Insular-Astiga: hasoro /hasɔɾɔ/ < Derived from Proto-Insular-Astiga: hasoru /hasɔɾʊ/ < Derived from Proto-North-Astiga: saśoru /saɕɔɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nɒniːɾɪ,forehead,nɒniːɾɪ,noun,Derived from Ancient Milavirú: noníri /nɒniːɾɪ/ < Derived from Proto-South-Insular-Astiga: noníra̱ /nɔniːɾə/ < Derived from Proto-Insular-Astiga: nunēr /nʊnɛːɾ/ < Derived from Proto-North-Astiga: nuneir /nunɛiɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
