Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ėahta,man,eahta,noun,Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
sōrat,woman,sɔːɾat,noun,Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
rē,person,ɾɛː,noun,Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
akhu,boy,akhʊ,noun,Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kraðe,girl,kɾaðɛ,noun,Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
aðēmha,child,aðɛːmha,noun,Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kala,head,kaɫa,noun,Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
aphat,shoulder,aphat,noun,Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ulē,knee,ʊɫɛː,noun,Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
ēmore,toe,ɛːmɔɾɛ,noun,Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nōnōs,hand,nɔːnɔːs,noun,Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ene,foot,ɛnɛ,noun,Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
knala,leg,knaɫa,noun,Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
saða,arm,saða,noun,Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
phaðėa,eye,phaðea,noun,Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mrasa,ear,mɾasa,noun,Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
sund,mouth,sʊnd,noun,Derived from Proto-North-Astiga: śund /ɕund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
toarē,nose,tɔaɾɛː,noun,Derived from Proto-North-Astiga: toerei /tɔɛɾɛi/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
hasoru,cheek,hasɔɾʊ,noun,Derived from Proto-North-Astiga: saśoru /saɕɔɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nunēr,forehead,nʊnɛːɾ,noun,Derived from Proto-North-Astiga: nuneir /nunɛiɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nogadha,elbow,nɔgadha,noun,Derived from Proto-North-Astiga: nogedsa /nɔgɛdsa/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
paɣena,chin,paɣɛna,noun,Derived from Proto-North-Astiga: pekėna /pɛkena/ < Derived from Proto-Astiga: pekina /pekina/,,,
okhē,lip,ɔkhɛː,noun,Derived from Proto-North-Astiga: oksuen /ɔksuɛn/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
pōhat,penis,pɔːhat,noun,Derived from Proto-North-Astiga: pausat /pausat/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
alumē,vagina,aɫʊmɛː,noun,Derived from Proto-North-Astiga: elumue /ɛlumuɛ/ < Derived from Proto-Astiga: elumū /elumuː/,,,
