Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
iɛstan,man,iɛstan,noun,Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
ɕauɾat,woman,ɕauɾat,noun,Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ɾɛi,person,ɾɛi,noun,Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
aksu,boy,aksu,noun,Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kɾate,girl,kɾate,noun,Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
ɛtuɛmsa,child,ɛtuɛmsa,noun,Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kɛla,head,kɛla,noun,Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
apsat,shoulder,apsat,noun,Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ulɛin,knee,ulɛin,noun,Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
ɛimɔɾe,toe,ɛimɔɾe,noun,Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
naunauɕ,hand,naunauɕ,noun,Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
enʲe,foot,enʲe,noun,Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
knalas,leg,knalas,noun,Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
ɕɛtɛ,arm,ɕɛtɛ,noun,Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
psatiɛ,eye,psatiɛ,noun,Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mɾaɕa,ear,mɾaɕa,noun,Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
ɕund,mouth,ɕund,noun,Derived from Proto-North-Astiga: śund /ɕund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tɔɛɾɛi,nose,tɔɛɾɛi,noun,Derived from Proto-North-Astiga: toerei /tɔɛɾɛi/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
saɕɔɾu,cheek,saɕɔɾu,noun,Derived from Proto-North-Astiga: saśoru /saɕɔɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nunɛiɾ,forehead,nunɛiɾ,noun,Derived from Proto-North-Astiga: nuneir /nunɛiɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nɔgɛdsa,elbow,nɔgɛdsa,noun,Derived from Proto-North-Astiga: nogedsa /nɔgɛdsa/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pɛkena,chin,pɛkena,noun,Derived from Proto-North-Astiga: pekėna /pɛkena/ < Derived from Proto-Astiga: pekina /pekina/,,,
ɔksuɛn,lip,ɔksuɛn,noun,Derived from Proto-North-Astiga: oksuen /ɔksuɛn/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
pausat,penis,pausat,noun,Derived from Proto-North-Astiga: pausat /pausat/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
ɛlumuɛ,vagina,ɛlumuɛ,noun,Derived from Proto-North-Astiga: elumue /ɛlumuɛ/ < Derived from Proto-Astiga: elumū /elumuː/,,,
epas,butt,epas,noun,Derived from Proto-North-Astiga: ėpas /epas/ < Derived from Proto-Astiga: ipas /ipas/,,,
ɛitamɛɾa,game,ɛitamɛɾa,noun,Derived from Proto-North-Astiga: eitamera /ɛitamɛɾa/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
nadɔ,wind,nadɔ,noun,Derived from Proto-North-Astiga: nado /nadɔ/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
psakɛiɾ,sight,psakɛiɾ,noun,Derived from Proto-North-Astiga: psakeir /psakɛiɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
nataus,water,nataus,noun,Derived from Proto-North-Astiga: nataus /nataus/ < Derived from Proto-Astiga: natōs /natoːs/,,,
kɾaɔs,fire,kɾaɔs,noun,Derived from Proto-North-Astiga: kraos /kɾaɔs/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
mɛɕɾau,earth,mɛɕɾau,noun,Derived from Proto-North-Astiga: meśrau /mɛɕɾau/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
atɾauiɛdsa,school,atɾauiɛdsa,noun,Derived from Proto-North-Astiga: atrauiedsa /atɾauiɛdsa/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
auɛinuɛs,student,auɛinuɛs,noun,Derived from Proto-North-Astiga: aueinues /auɛinuɛs/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
caule,language,caule,noun,Derived from Proto-North-Astiga: caulė /caule/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
