Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
éta,man,ɛːta,noun,Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
sárat,woman,saːɾat,noun,Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
rí,person,ɾiː,noun,Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
aso,boy,asɔ,noun,Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kraya,girl,kɾaja,noun,Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
ayíṃa,child,ajiːm̥a,noun,Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kawa,head,kawa,noun,Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
afat,shoulder,aw̥at,noun,Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
owí,knee,ɔwiː,noun,Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
ímara,toe,iːmaɾa,noun,Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nánás,hand,naːnaːs,noun,Derived from Proto-Insular-Astiga: nōnōs /nɔːnɔːs/ < Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ana,foot,ana,noun,Derived from Proto-Insular-Astiga: ene /ɛnɛ/ < Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
knawa,leg,knawa,noun,Derived from Proto-Insular-Astiga: knala /knaɫa/ < Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
saya,arm,saja,noun,Derived from Proto-Insular-Astiga: saða /saða/ < Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
fayé,eye,w̥ajɛː,noun,Derived from Proto-Insular-Astiga: phaðėa /phaðea/ < Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mrasa,ear,mɾasa,noun,Derived from Proto-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
sond,mouth,sɔnd,noun,Derived from Proto-Insular-Astiga: sund /sʊnd/ < Derived from Proto-North-Astiga: śund /ɕund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tárí,nose,taːɾiː,noun,Derived from Proto-Insular-Astiga: toarē /tɔaɾɛː/ < Derived from Proto-North-Astiga: toerei /tɔɛɾɛi/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
asaro,cheek,asaɾɔ,noun,Derived from Proto-Insular-Astiga: hasoru /hasɔɾʊ/ < Derived from Proto-North-Astiga: saśoru /saɕɔɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nonír,forehead,nɔniːɾ,noun,Derived from Proto-Insular-Astiga: nunēr /nʊnɛːɾ/ < Derived from Proto-North-Astiga: nuneir /nunɛiɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nagaza,elbow,nagaza,noun,Derived from Proto-Insular-Astiga: nogadha /nɔgadha/ < Derived from Proto-North-Astiga: nogedsa /nɔgɛdsa/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pána,chin,paːna,noun,Derived from Proto-Insular-Astiga: paɣena /paɣɛna/ < Derived from Proto-North-Astiga: pekėna /pɛkena/ < Derived from Proto-Astiga: pekina /pekina/,,,
así,lip,asiː,noun,Derived from Proto-Insular-Astiga: okhē /ɔkhɛː/ < Derived from Proto-North-Astiga: oksuen /ɔksuɛn/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
pát,penis,paːt,noun,Derived from Proto-Insular-Astiga: pōhat /pɔːhat/ < Derived from Proto-North-Astiga: pausat /pausat/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
awomí,vagina,awɔmiː,noun,Derived from Proto-Insular-Astiga: alumē /aɫʊmɛː/ < Derived from Proto-North-Astiga: elumue /ɛlumuɛ/ < Derived from Proto-Astiga: elumū /elumuː/,,,
awa,butt,awa,noun,Derived from Proto-Insular-Astiga: eβa /ɛβa/ < Derived from Proto-North-Astiga: ėpas /epas/ < Derived from Proto-Astiga: ipas /ipas/,,,
íyamara,game,iːjamaɾa,noun,Derived from Proto-Insular-Astiga: ēðamara /ɛːðamaɾa/ < Derived from Proto-North-Astiga: eitamera /ɛitamɛɾa/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
nara,wind,naɾa,noun,Derived from Proto-Insular-Astiga: nado /nadɔ/ < Derived from Proto-North-Astiga: nado /nadɔ/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
fáír,sight,w̥aːiːɾ,noun,Derived from Proto-Insular-Astiga: phaɣēr /phaɣɛːɾ/ < Derived from Proto-North-Astiga: psakeir /psakɛiɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
nayá,water,najaː,noun,Derived from Proto-Insular-Astiga: naðō /naðɔː/ < Derived from Proto-North-Astiga: nataus /nataus/ < Derived from Proto-Astiga: natōs /natoːs/,,,
krá,fire,kɾaː,noun,Derived from Proto-Insular-Astiga: krao /kɾaɔ/ < Derived from Proto-North-Astiga: kraos /kɾaɔs/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
masrá,earth,masɾaː,noun,Derived from Proto-Insular-Astiga: masrō /masɾɔː/ < Derived from Proto-North-Astiga: meśrau /mɛɕɾau/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
ayráéza,school,ajɾaːɛːza,noun,Derived from Proto-Insular-Astiga: aðrōėadha /aðɾɔːeadha/ < Derived from Proto-North-Astiga: atrauiedsa /atɾauiɛdsa/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
áíní,student,aːiːniː,noun,Derived from Proto-Insular-Astiga: ōēnē /ɔːɛːnɛː/ < Derived from Proto-North-Astiga: aueinues /auɛinuɛs/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
sáwa,language,saːwa,noun,Derived from Proto-Insular-Astiga: sōle /sɔːɫɛ/ < Derived from Proto-North-Astiga: caulė /caule/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
