Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
tšu,do,t͡ʂʉ,verb,Derived from Proto-Nakka: ču /t͡ʃu/,,,
kulovo,boy,kʉlɔʋɔ,noun,Derived from Proto-Nakka: kurrawa /kurawa/,,,
hipokʲi,baby,hɪpɔkʲɪ,noun,Derived from Proto-Nakka: xipakki /xipakʼi/,,,
putšon,hair,pʉt͡ʂɔn,noun,Derived from Proto-Nakka: pučan /put͡ʃan/,,,
wikou,kick,w̃ɪkɔu,verb,Derived from Proto-Nakka: wiqaw /wiqaw/,,,
kʲuto,fill,kʲʉtɔ,verb,Derived from Proto-Nakka: qquta /qʼuta/,,,
nulo,school,nʉlɔ,noun,Derived from Proto-Nakka: nurra /nura/,,,
monok,student,mɔnɔk,noun,Derived from Proto-Nakka: manaq /manaq/,,,
mokʲū,earth,mɔkʲʉː,noun,Derived from Proto-Nakka: makkux /makʼux/,,,
tovo,river,tɔʋɔ,noun,Derived from Proto-Nakka: tawa /tawa/,,,
tšuro,mouth,t͡ʂʉɾɔ,noun,Derived from Proto-Nakka: čura /t͡ʃuɾa/,,,
hušokʲo,plains,hʉʂɔkʲɔ,noun,Derived from Proto-Nakka: xušakka /xuʃakʼa/,,,
kin,big,kɪn,adjective,Derived from Proto-Nakka: kin /kin/,,,
nimot,north,nɪmɔt,noun,Derived from Proto-Nakka: nimat /nimat/,,,
kipotʂʲi,mountain,kɪpɔt͡ʂʲɪ,noun,Derived from Proto-Nakka: kipačči /kipat͡ʃʼi/,,,
šou,village,ʂɔu,noun,Derived from Proto-Nakka: šaw /ʃaw/,,,
nori,language,nɔɾɪ,noun,Derived from Proto-Nakka: nari /naɾi/,,,
potu,person,pɔtʉ,noun,Derived from Proto-Nakka: patu /patu/,,,
