Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
iesdom,man,iesdom,noun,Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tiaɾwos,woman,tiaɾwos,noun,Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ɾia,person,ɾia,noun,Derived from Proto-Astiga: rē /ɾeː/,,,
oksu,boy,oksu,noun,Derived from Proto-Astiga: aksu /aksu/,,,
jaɾse,girl,jaɾse,noun,Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
asiumas,child,asiumas,noun,Derived from Proto-Astiga: etūmś /etuːms̩/,,,
jaɾo,head,jaɾo,noun,Derived from Proto-Astiga: kerra /kera/,,,
wopsos,shoulder,wopsos,noun,Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ulian,knee,ulian,noun,Derived from Proto-Astiga: ulēn /uleːn/,,,
iamaɾe,toe,iamaɾe,noun,Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
niuwniut,hand,niuwniut,noun,Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
enne,foot,enne,noun,Derived from Proto-Astiga: inni /inni/,,,
janlos,leg,janlos,noun,Derived from Proto-Astiga: kńlas /kn̩las/,,,
tasa,arm,tasa,noun,Derived from Proto-Astiga: kʲete /kʲete/,,,
hassie,eye,hassie,noun,Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
maɾto,ear,maɾto,noun,Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tund,mouth,tund,noun,Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
sawaɾia,nose,sawaɾia,noun,Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
astaɾu,cheek,astaɾu,noun,Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nuniaɾ,forehead,nuniaɾ,noun,Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabagas,elbow,nabagas,noun,Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
hajeno,chin,hajeno,noun,Derived from Proto-Astiga: pekina /pekina/,,,
aksium,lip,aksium,noun,Derived from Proto-Astiga: oksūm /oksuːm/,,,
hiusos,penis,hiusos,noun,Derived from Proto-Astiga: pāsat /paːsat/,,,
alumiu,vagina,alumiu,noun,Derived from Proto-Astiga: elumū /elumuː/,,,
ehos,butt,ehos,noun,Derived from Proto-Astiga: ipas /ipas/,,,
iasomawaɾ,game,iasomawaɾ,noun,Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
wanda,wind,wanda,noun,Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
hasjiaɾ,sight,hasjiaɾ,noun,Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
nosias,water,nosias,noun,Derived from Proto-Astiga: natōs /natoːs/,,,
jaɾwas,fire,jaɾwas,noun,Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
majʲɾa,earth,majʲɾa,noun,Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
oɾtiuwiegas,school,oɾtiuwiegas,noun,Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
awinius,student,awinius,noun,Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
kiuɾe,language,kiuɾe,noun,Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
siɾnu,tongue,siɾnu,noun,Derived from Proto-Astiga: seinru /seinɾu/,,,
ajasaɾ,plains,ajasaɾ,noun,Derived from Proto-Astiga: okautŕ /okautɾ̩/,,,
tiamsie,mountain,tiamsie,noun,Derived from Proto-Astiga: kʲōmsī /kʲoːmsiː/,,,
oɾiam,hair,oɾiam,noun,Derived from Proto-Astiga: arjēm /aɾjeːm/,,,
euɾas,friend,euɾas,noun,Derived from Proto-Astiga: iuros /iuɾos/,,,
laa,way,laa,noun,Derived from Proto-Astiga: loje /loje/,,,
ujiubaɾ,semen,ujiubaɾ,noun,Derived from Proto-Astiga: ukāgʷŕ /ukaːgʷɾ̩/,,,
asiutaɾliugom,pedophile,asiutaɾliugom,noun,Derived from Proto-Astiga: etūkʲĺrādʷam /etuːkʲl̩ɾaːdʷam/,,,
tagom,follower,tagom,noun,Derived from Proto-Astiga: kʲodʷam /kʲodʷam/,,,
bastun,thing,bastun,noun,Derived from Proto-Astiga: gʷśkʲun /gʷs̩kʲun/,,,
nysa,card,nysa,noun,Derived from Proto-Astiga: noito /noito/,Use as a gift or transaction,,
olho,baby,olho,noun,Derived from Proto-Astiga: alpa /alpa/,,,
eɾuho,song,eɾuho,noun,Derived from Proto-Astiga: irupa /iɾupa/,,,
niaga,savanna,niaga,noun,Derived from Proto-Astiga: nōdʷe /noːdʷe/,,,
ɾawiak,card,ɾawiak,noun,Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,"Use for play or games, or general information",,
siuwolo,loan,siuwolo,noun,Derived from Proto-Astiga: tāvala /taːʋala/,,,
siaɾmas,payment,siaɾmas,noun,Derived from Proto-Astiga: sēmros /seːmɾos/,,,
ielaj,day,ielaj,noun,Derived from Proto-Astiga: īlok /iːlok/,,,
umius,night,umius,noun,Derived from Proto-Astiga: umūs /umuːs/,,,
ennemu,pedal,ennemu,noun,Derived from Proto-Astiga: innimu /innimu/,,,
wienaɾs,city,wienaɾs,noun,Derived from Proto-Astiga: vīnŕs /ʋiːnɾ̩s/,,,
ateas,travel,ateas,noun,Derived from Proto-Astiga: okʲios /okʲios/,,,
ge,I,ge,pronoun,Derived from Proto-Astiga: dʷi /dʷi/,,,
mansa,you.s,mansa,pronoun,Derived from Proto-Astiga: mńte /mn̩te/,,,
iuɾwe,it,iuɾwe,pronoun,Derived from Proto-Astiga: ārvi /aːɾʋi/,,,
jag,we,jag,pronoun,Derived from Proto-Astiga: kodʷ /kodʷ/,,,
saɾia,you.p,saɾia,pronoun,Derived from Proto-Astiga: serō /seɾoː/,,,
enk,they,enk,pronoun,Derived from Proto-Astiga: intʲ /intʲ/,,,
ɾiawan,go,ɾiawan,verb,Derived from Proto-Astiga: rēven /ɾeːʋen/,,,
niaman,speak,niaman,verb,Derived from Proto-Astiga: nōmen /noːmen/,,,
ojan,do,ojan,verb,Derived from Proto-Astiga: aken /aken/,,,
siumun,help,siumun,verb,Derived from Proto-Astiga: tāmun /taːmun/,,,
hossan,see,hossan,verb,Derived from Proto-Astiga: pasten /pasten/,,,
siuban,like,siuban,verb,Derived from Proto-Astiga: sūgʷen /suːgʷen/,,,
mon,be,mon,verb,Derived from Proto-Astiga: man /man/,,,
sen,NEG,sen,particle,Derived from Proto-Astiga: sin /sin/,,,
suman,want,suman,verb,Derived from Proto-Astiga: tumen /tumen/,,,
iunogan,lick,iunogan,verb,Derived from Proto-Astiga: jūnadʷen /juːnadʷen/,,,
woban,give,woban,verb,Derived from Proto-Astiga: vagʷen /ʋagʷen/,,,
oɾtawan,fill,oɾtawan,verb,Derived from Proto-Astiga: atroven /atɾoʋen/,,,
taɾliusan,love,taɾliusan,verb,Derived from Proto-Astiga: kʲĺrāsen /kʲl̩ɾaːsen/,,,
aɾsiam,more,aɾsiam,adjective,Derived from Proto-Astiga: ŕtēm /ɾ̩teːm/,,,
tahan,follow,tahan,verb,Derived from Proto-Astiga: kʲopen /kʲopen/,,,
waɾan,have,waɾan,verb,Derived from Proto-Astiga: veren /ʋeɾen/,,,
nundan,buy,nundan,verb,Derived from Proto-Astiga: nundʷen /nundʷen/,,,
masson,deceive,masson,verb,Derived from Proto-Astiga: mśtan /ms̩tan/,,,
oɾialan,kick,oɾialan,verb,Derived from Proto-Astiga: arōlen /aɾoːlen/,,,
altan,hate,altan,verb,Derived from Proto-Astiga: elkʲen /elkʲen/,,,
baɾbonan,listen,baɾbonan,verb,Derived from Proto-Astiga: gʷŕgʷanen /gʷɾ̩gʷanen/,,,
siaɾmon,pay,siaɾmon,verb,Derived from Proto-Astiga: sēmran /seːmɾan/,,,
sesan,choose,sesan,verb,Derived from Proto-Astiga: taisen /taisen/,,,
uiulaɾan,ride,uiulaɾan,verb,Derived from Proto-Astiga: ujālŕen /ujaːlɾ̩en/,,,
aten,travel,aten,verb,Derived from Proto-Astiga: okʲin /okʲin/,,,
aliaman,know,aliaman,verb,Derived from Proto-Astiga: elōmen /eloːmen/,,,
miuɾas,world,miuɾas,noun,Derived from Proto-Astiga: mārś /maːɾs̩/,,,
jaɾsube,river,jaɾsube,noun,Derived from Proto-Astiga: kśrugʷi /ks̩ɾugʷi/,,,
suɾ,beside,suɾ,adjective,Derived from Proto-Astiga: tur /tuɾ/,,,
niud,village,niud,noun,Derived from Proto-Astiga: nād /naːd/,,,
malju,new,malju,adjective,Derived from Proto-Astiga: mĺku /ml̩ku/,,,
hogo,island,hogo,noun,Derived from Proto-Astiga: padʷa /padʷa/,,,
oniuses,horizon,oniuses,noun,Derived from Proto-Astiga: janāsis /janaːsis/,,,
anwosaɾ,toilet,anwosaɾ,noun,Derived from Proto-Astiga: ńvaser /n̩ʋaseɾ/,,,
iames,break,iames,noun,Derived from Proto-Astiga: ēmis /eːmis/,"a pause, a break",,
soɾka,bottle,soɾka,noun,Derived from Proto-Astiga: takre /takɾe/,,,
sebu,ant,sebu,noun,Derived from Proto-Astiga: tigʷu /tigʷu/,,,
iukniu,brick,iukniu,noun,Derived from Proto-Astiga: āknā /aːknaː/,,,
wajakaɾ,basket,wajakaɾ,noun,Derived from Proto-Astiga: vokotʲŕ /ʋokotʲɾ̩/,,,
iawiun,eat,iawiun,verb,Derived from Proto-Astiga: ēvān /eːʋaːn/,,,
jaɾdu,place,jaɾdu,noun,Derived from Proto-Astiga: kŕdʷu /kɾ̩dʷu/,,,
iajaɾdu,restaurant,iajaɾdu,noun,Derived from Proto-Astiga: ēkŕdʷu /eːkɾ̩dʷu/,,,
wansu,front,wansu,noun,Derived from Proto-Astiga: vńsu /ʋn̩su/,,,
siawiu,city,siawiu,noun,Derived from Proto-Astiga: sēvā /seːʋaː/,,,
miuno,two,miuno,num,Derived from Proto-Astiga: mūna /muːna/,,,
and,town,and,noun,Derived from Proto-Astiga: endʷ /endʷ/,Settlement generator component,settlement-suggested,
ama,settlement,ama,noun,Derived from Proto-Astiga: aumo /aumo/,Settlement generator component,settlement-suggested,
iumne,fort,iumne,noun,Derived from Proto-Astiga: ūmni /uːmni/,Settlement generator component,settlement-suggested,
miuɾtes,castle,miuɾtes,noun,Derived from Proto-Astiga: mūtris /muːtɾis/,Settlement generator component,settlement-suggested,
owsiu,port,owsiu,noun,Derived from Proto-Astiga: avsū /aʋsuː/,Settlement generator component,settlement-suggested,
hawa,haven,hawa,noun,Derived from Proto-Astiga: peve /peʋe/,Settlement generator component,settlement-suggested,
manny,house,manny,noun,Derived from Proto-Astiga: mennoi /mennoi/,Settlement generator component,settlement-suggested,
omiuk,home,omiuk,noun,Derived from Proto-Astiga: amātʲ /amaːtʲ/,Settlement generator component,settlement-suggested,
giaɾan,valley,giaɾan,noun,Derived from Proto-Astiga: dʷērń /dʷeːɾn̩/,Settlement generator component,settlement-suggested,
alb,hill,alb,noun,Derived from Proto-Astiga: elgʷ /elgʷ/,Settlement generator component,settlement-suggested,
laɾ,field,laɾ,noun,Derived from Proto-Astiga: ler /leɾ/,Settlement generator component,settlement-suggested,
tallo,old,tallo,adjective,Derived from Proto-Astiga: kʲolla /kʲolla/,Settlement generator component,settlement-suggested,
utaɾ,big,utaɾ,adjective,Derived from Proto-Astiga: ukʲer /ukʲeɾ/,Settlement generator component,settlement-suggested,
ian,great,ian,adjective,Derived from Proto-Astiga: ēn /eːn/,Settlement generator component,settlement-suggested,
maba,small,maba,adjective,Derived from Proto-Astiga: mogʷo /mogʷo/,Settlement generator component,settlement-suggested,
aɾma,high,aɾma,adjective,Derived from Proto-Astiga: ŕmo /ɾ̩mo/,Settlement generator component,settlement-suggested,
juwo,stone,juwo,adjective,Derived from Proto-Astiga: kuvaj /kuʋaj/,Settlement generator component,settlement-suggested,
aɾal,rock,aɾal,adjective,Derived from Proto-Astiga: erel /eɾel/,Settlement generator component,settlement-suggested,
naa,lake,naa,adjective,Derived from Proto-Astiga: nejo /nejo/,Settlement generator component,settlement-suggested,
hiulan,forest,hiulan,adjective,Derived from Proto-Astiga: pālon /paːlon/,Settlement generator component,settlement-suggested,
ak,wood,ak,adjective,Derived from Proto-Astiga: jotʲ /jotʲ/,Settlement generator component,settlement-suggested,
myɾu,black,myɾu,adjective,Derived from Proto-Astiga: muiru /muiɾu/,Settlement generator component,settlement-suggested,
aɾkule,white,aɾkule,adjective,Derived from Proto-Astiga: okruli /okɾuli/,Settlement generator component,settlement-suggested,
masoɾ,red,masoɾ,adjective,Derived from Proto-Astiga: mśjar /ms̩jaɾ/,Settlement generator component,settlement-suggested,
mawias,cold,mawias,adjective,Derived from Proto-Astiga: movēs /moʋeːs/,Settlement generator component,settlement-suggested,
soɾ,hot,soɾ,adjective,Derived from Proto-Astiga: tarr /tar/,Settlement generator component,settlement-suggested,
sanlas,feather,sanlas,noun,Derived from Proto-Astiga: sńlos /sn̩los/,,,
maj,dog,maj,noun,Derived from Proto-Astiga: mok /mok/,,,
soɾy,tree,soɾy,noun,Derived from Proto-Astiga: taroi /taɾoi/,,,
