Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
iːsdʷam,man,iːsdʷam,noun,Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
kʲoːɾʋat,woman,kʲoːɾʋat,noun,Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ɾeː,person,ɾeː,noun,Derived from Proto-Astiga: rē /ɾeː/,,,
aksu,boy,aksu,noun,Derived from Proto-Astiga: aksu /aksu/,,,
kɾ̩ti,girl,kɾ̩ti,noun,Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
etuːms̩,child,etuːms̩,noun,Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kera,head,kera,noun,Derived from Proto-Astiga: kerra /kera/,,,
ʋapsat,shoulder,ʋapsat,noun,Derived from Proto-Astiga: vapsat /ʋapsat/,,,
uleːn,knee,uleːn,noun,Derived from Proto-Astiga: ulēn /uleːn/,,,
eːmoɾi,toe,eːmoɾi,noun,Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
naːʋnaːkʲ,hand,naːʋnaːkʲ,noun,Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
inni,foot,inni,noun,Derived from Proto-Astiga: inni /inni/,,,
kn̩las,leg,kn̩las,noun,Derived from Proto-Astiga: kńlas /kn̩las/,,,
kʲete,arm,kʲete,noun,Derived from Proto-Astiga: kʲete /kʲete/,,,
ps̩tiː,eye,ps̩tiː,noun,Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mɾ̩kʲa,ear,mɾ̩kʲa,noun,Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
kʲundʷ,mouth,kʲundʷ,noun,Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
toʋeɾeː,nose,toʋeɾeː,noun,Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
s̩kʲoɾu,cheek,s̩kʲoɾu,noun,Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nuneːɾ,forehead,nuneːɾ,noun,Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nogʷedʷs̩,elbow,nogʷedʷs̩,noun,Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pekina,chin,pekina,noun,Derived from Proto-Astiga: pekina /pekina/,,,
oksuːm,lip,oksuːm,noun,Derived from Proto-Astiga: oksūm /oksuːm/,,,
paːsat,penis,paːsat,noun,Derived from Proto-Astiga: pāsat /paːsat/,,,
elumuː,vagina,elumuː,noun,Derived from Proto-Astiga: elumū /elumuː/,,,
ipas,butt,ipas,noun,Derived from Proto-Astiga: ipas /ipas/,,,
eːtameʋɾ̩,game,eːtameʋɾ̩,noun,Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
ʋn̩dʷo,wind,ʋn̩dʷo,noun,Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
ps̩keːɾ,sight,ps̩keːɾ,noun,Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
natoːs,water,natoːs,noun,Derived from Proto-Astiga: natōs /natoːs/,,,
kɾ̩ʋos,fire,kɾ̩ʋos,noun,Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
mekʲɾau,earth,mekʲɾau,noun,Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
atɾaːʋiːdʷs̩,school,atɾaːʋiːdʷs̩,noun,Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
auʋeinuːs,student,auʋeinuːs,noun,Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
tʲaːri,language,tʲaːri,noun,Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
seinɾu,tongue,seinɾu,noun,Derived from Proto-Astiga: seinru /seinɾu/,,,
okautɾ̩,plains,okautɾ̩,noun,Derived from Proto-Astiga: okautŕ /okautɾ̩/,,,
kʲoːmsiː,mountain,kʲoːmsiː,noun,Derived from Proto-Astiga: kʲōmsī /kʲoːmsiː/,,,
aɾjeːm,hair,aɾjeːm,noun,Derived from Proto-Astiga: arjēm /aɾjeːm/,,,
iuɾos,friend,iuɾos,noun,Derived from Proto-Astiga: iuros /iuɾos/,,,
loje,way,loje,noun,Derived from Proto-Astiga: loje /loje/,,,
ukaːgʷɾ̩,semen,ukaːgʷɾ̩,noun,Derived from Proto-Astiga: ukāgʷŕ /ukaːgʷɾ̩/,,,
etuːkʲl̩ɾaːdʷam,pedophile,etuːkʲl̩ɾaːdʷam,noun,Derived from Proto-Astiga: etūkʲĺrādʷam /etuːkʲl̩ɾaːdʷam/,,,
kʲodʷam,follower,kʲodʷam,noun,Derived from Proto-Astiga: kʲodʷam /kʲodʷam/,,,
gʷs̩kʲun,thing,gʷs̩kʲun,noun,Derived from Proto-Astiga: gʷśkʲun /gʷs̩kʲun/,,,
noito,card,noito,noun,Derived from Proto-Astiga: noito /noito/,Use as a gift or transaction,,
alpa,baby,alpa,noun,Derived from Proto-Astiga: alpa /alpa/,,,
iɾupa,song,iɾupa,noun,Derived from Proto-Astiga: irupa /iɾupa/,,,
noːdʷe,savanna,noːdʷe,noun,Derived from Proto-Astiga: nōdʷe /noːdʷe/,,,
ɾauʋoːtʲ,card,ɾauʋoːtʲ,noun,Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,"Use for play or games, or general information",,
taːʋala,loan,taːʋala,noun,Derived from Proto-Astiga: tāvala /taːʋala/,,,
seːmɾos,payment,seːmɾos,noun,Derived from Proto-Astiga: sēmros /seːmɾos/,,,
iːlok,day,iːlok,noun,Derived from Proto-Astiga: īlok /iːlok/,,,
umuːs,night,umuːs,noun,Derived from Proto-Astiga: umūs /umuːs/,,,
innimu,pedal,innimu,noun,Derived from Proto-Astiga: innimu /innimu/,,,
ʋiːnɾ̩s,city,ʋiːnɾ̩s,noun,Derived from Proto-Astiga: vīnŕs /ʋiːnɾ̩s/,,,
okʲios,travel,okʲios,noun,Derived from Proto-Astiga: okʲios /okʲios/,,,
dʷi,I,dʷi,pronoun,Derived from Proto-Astiga: dʷi /dʷi/,,,
mn̩te,you.s,mn̩te,pronoun,Derived from Proto-Astiga: mńte /mn̩te/,,,
aːɾʋi,it,aːɾʋi,pronoun,Derived from Proto-Astiga: ārvi /aːɾʋi/,,,
kodʷ,we,kodʷ,pronoun,Derived from Proto-Astiga: kodʷ /kodʷ/,,,
seɾoː,you.p,seɾoː,pronoun,Derived from Proto-Astiga: serō /seɾoː/,,,
intʲ,they,intʲ,pronoun,Derived from Proto-Astiga: intʲ /intʲ/,,,
ɾeːʋen,go,ɾeːʋen,verb,Derived from Proto-Astiga: rēven /ɾeːʋen/,,,
noːmen,speak,noːmen,verb,Derived from Proto-Astiga: nōmen /noːmen/,,,
aken,do,aken,verb,Derived from Proto-Astiga: aken /aken/,,,
taːmun,help,taːmun,verb,Derived from Proto-Astiga: tāmun /taːmun/,,,
pasten,see,pasten,verb,Derived from Proto-Astiga: pasten /pasten/,,,
suːgʷen,like,suːgʷen,verb,Derived from Proto-Astiga: sūgʷen /suːgʷen/,,,
man,be,man,verb,Derived from Proto-Astiga: man /man/,,,
sin,NEG,sin,particle,Derived from Proto-Astiga: sin /sin/,,,
tumen,want,tumen,verb,Derived from Proto-Astiga: tumen /tumen/,,,
juːnadʷen,lick,juːnadʷen,verb,Derived from Proto-Astiga: jūnadʷen /juːnadʷen/,,,
ʋagʷen,give,ʋagʷen,verb,Derived from Proto-Astiga: vagʷen /ʋagʷen/,,,
atɾoʋen,fill,atɾoʋen,verb,Derived from Proto-Astiga: atroven /atɾoʋen/,,,
kʲl̩ɾaːsen,love,kʲl̩ɾaːsen,verb,Derived from Proto-Astiga: kʲĺrāsen /kʲl̩ɾaːsen/,,,
ɾ̩teːm,more,ɾ̩teːm,adjective,Derived from Proto-Astiga: ŕtēm /ɾ̩teːm/,,,
kʲopen,follow,kʲopen,verb,Derived from Proto-Astiga: kʲopen /kʲopen/,,,
ʋeɾen,have,ʋeɾen,verb,Derived from Proto-Astiga: veren /ʋeɾen/,,,
nundʷen,buy,nundʷen,verb,Derived from Proto-Astiga: nundʷen /nundʷen/,,,
ms̩tan,deceive,ms̩tan,verb,Derived from Proto-Astiga: mśtan /ms̩tan/,,,
aɾoːlen,kick,aɾoːlen,verb,Derived from Proto-Astiga: arōlen /aɾoːlen/,,,
elkʲen,hate,elkʲen,verb,Derived from Proto-Astiga: elkʲen /elkʲen/,,,
gʷɾ̩gʷanen,listen,gʷɾ̩gʷanen,verb,Derived from Proto-Astiga: gʷŕgʷanen /gʷɾ̩gʷanen/,,,
seːmɾan,pay,seːmɾan,verb,Derived from Proto-Astiga: sēmran /seːmɾan/,,,
taisen,choose,taisen,verb,Derived from Proto-Astiga: taisen /taisen/,,,
ujaːlɾ̩en,ride,ujaːlɾ̩en,verb,Derived from Proto-Astiga: ujālŕen /ujaːlɾ̩en/,,,
okʲin,travel,okʲin,verb,Derived from Proto-Astiga: okʲin /okʲin/,,,
eloːmen,know,eloːmen,verb,Derived from Proto-Astiga: elōmen /eloːmen/,,,
maːɾs̩,world,maːɾs̩,noun,Derived from Proto-Astiga: mārś /maːɾs̩/,,,
ks̩ɾugʷi,river,ks̩ɾugʷi,noun,Derived from Proto-Astiga: kśrugʷi /ks̩ɾugʷi/,,,
tuɾ,beside,tuɾ,adjective,Derived from Proto-Astiga: tur /tuɾ/,,,
naːd,village,naːd,noun,Derived from Proto-Astiga: nād /naːd/,,,
ml̩ku,new,ml̩ku,adjective,Derived from Proto-Astiga: mĺku /ml̩ku/,,,
padʷa,island,padʷa,noun,Derived from Proto-Astiga: padʷa /padʷa/,,,
janaːsis,horizon,janaːsis,noun,Derived from Proto-Astiga: janāsis /janaːsis/,,,
n̩ʋaseɾ,toilet,n̩ʋaseɾ,noun,Derived from Proto-Astiga: ńvaser /n̩ʋaseɾ/,,,
eːmis,break,eːmis,noun,Derived from Proto-Astiga: ēmis /eːmis/,"a pause, a break",,
takɾe,bottle,takɾe,noun,Derived from Proto-Astiga: takre /takɾe/,,,
tigʷu,ant,tigʷu,noun,Derived from Proto-Astiga: tigʷu /tigʷu/,,,
aːknaː,brick,aːknaː,noun,Derived from Proto-Astiga: āknā /aːknaː/,,,
ʋokotʲɾ̩,basket,ʋokotʲɾ̩,noun,Derived from Proto-Astiga: vokotʲŕ /ʋokotʲɾ̩/,,,
eːʋaːn,eat,eːʋaːn,verb,Derived from Proto-Astiga: ēvān /eːʋaːn/,,,
kɾ̩dʷu,place,kɾ̩dʷu,noun,Derived from Proto-Astiga: kŕdʷu /kɾ̩dʷu/,,,
eːkɾ̩dʷu,restaurant,eːkɾ̩dʷu,noun,Derived from Proto-Astiga: ēkŕdʷu /eːkɾ̩dʷu/,,,
ʋn̩su,front,ʋn̩su,noun,Derived from Proto-Astiga: vńsu /ʋn̩su/,,,
seːʋaː,city,seːʋaː,noun,Derived from Proto-Astiga: sēvā /seːʋaː/,,,
muːna,two,muːna,num,Derived from Proto-Astiga: mūna /muːna/,,,
endʷ,town,endʷ,noun,Derived from Proto-Astiga: endʷ /endʷ/,Settlement generator component,settlement-suggested,
aumo,settlement,aumo,noun,Derived from Proto-Astiga: aumo /aumo/,Settlement generator component,settlement-suggested,
uːmni,fort,uːmni,noun,Derived from Proto-Astiga: ūmni /uːmni/,Settlement generator component,settlement-suggested,
muːtɾis,castle,muːtɾis,noun,Derived from Proto-Astiga: mūtris /muːtɾis/,Settlement generator component,settlement-suggested,
aʋsuː,port,aʋsuː,noun,Derived from Proto-Astiga: avsū /aʋsuː/,Settlement generator component,settlement-suggested,
peʋe,haven,peʋe,noun,Derived from Proto-Astiga: peve /peʋe/,Settlement generator component,settlement-suggested,
mennoi,house,mennoi,noun,Derived from Proto-Astiga: mennoi /mennoi/,Settlement generator component,settlement-suggested,
amaːtʲ,home,amaːtʲ,noun,Derived from Proto-Astiga: amātʲ /amaːtʲ/,Settlement generator component,settlement-suggested,
