Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
áta̱,man,aːtə,noun,Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
súrata̱,woman,suːɾatə,noun,Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
rí,person,ɾiː,noun,Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
axo,boy,aʃɔ,noun,Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
ka̱raha,girl,kəɾaha,noun,Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
ahíf,child,ahiːf,noun,Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kao,head,kaɔ,noun,Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
afata̱,shoulder,afatə,noun,Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
olí,knee,ɔliː,noun,Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
ímora,toe,iːmɔɾa,noun,Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
núnús,hand,nuːnuːs,noun,Derived from Proto-Insular-Astiga: nōnōs /nɔːnɔːs/ < Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ana,foot,ana,noun,Derived from Proto-Insular-Astiga: ene /ɛnɛ/ < Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
ka̱nao,leg,kənaɔ,noun,Derived from Proto-Insular-Astiga: knala /knaɫa/ < Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
saha̱,arm,sahə,noun,Derived from Proto-Insular-Astiga: saða /saða/ < Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
fahá,eye,fahaː,noun,Derived from Proto-Insular-Astiga: phaðėa /phaðea/ < Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
ma̱ras,ear,məɾas,noun,Derived from Proto-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
sonta̱,mouth,sɔntə,noun,Derived from Proto-Insular-Astiga: sund /sʊnd/ < Derived from Proto-North-Astiga: śund /ɕund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tárí,nose,taːɾiː,noun,Derived from Proto-Insular-Astiga: toarē /tɔaɾɛː/ < Derived from Proto-North-Astiga: toerei /tɔɛɾɛi/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
hasoro,cheek,hasɔɾɔ,noun,Derived from Proto-Insular-Astiga: hasoru /hasɔɾʊ/ < Derived from Proto-North-Astiga: saśoru /saɕɔɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
noníra̱,forehead,nɔniːɾə,noun,Derived from Proto-Insular-Astiga: nunēr /nʊnɛːɾ/ < Derived from Proto-North-Astiga: nuneir /nunɛiɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nokas,elbow,nɔkas,noun,Derived from Proto-Insular-Astiga: nogadha /nɔgadha/ < Derived from Proto-North-Astiga: nogedsa /nɔgɛdsa/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
payan,chin,pajan,noun,Derived from Proto-Insular-Astiga: paɣena /paɣɛna/ < Derived from Proto-North-Astiga: pekėna /pɛkena/ < Derived from Proto-Astiga: pekina /pekina/,,,
oxí,lip,ɔʃiː,noun,Derived from Proto-Insular-Astiga: okhē /ɔkhɛː/ < Derived from Proto-North-Astiga: oksuen /ɔksuɛn/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
púhata̱,penis,puːhatə,noun,Derived from Proto-Insular-Astiga: pōhat /pɔːhat/ < Derived from Proto-North-Astiga: pausat /pausat/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
