Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ēzam,man,eːzam,noun,Derived from Proto-South-Astiga: iesdom /iesdom/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tīras,woman,tiːɾas,noun,Derived from Proto-South-Astiga: tiaɾwos /tiaɾwos/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
rī,person,ɾiː,noun,Derived from Proto-South-Astiga: ɾia /ɾia/ < Derived from Proto-Astiga: rē /ɾeː/,,,
ośku,boy,oɕku,noun,Derived from Proto-South-Astiga: oksu /oksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
jaśre,girl,jaɕɾe,noun,Derived from Proto-South-Astiga: jaɾse /jaɾse/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
aśȳmas,child,aɕyːmas,noun,Derived from Proto-South-Astiga: asiumas /asiumas/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
jaro,head,jaɾo,noun,Derived from Proto-South-Astiga: jaɾo /jaɾo/ < Derived from Proto-Astiga: kerra /kera/,,,
waspas,shoulder,waspas,noun,Derived from Proto-South-Astiga: wopsos /wopsos/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ulīn,knee,uliːn,noun,Derived from Proto-South-Astiga: ulian /ulian/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
īmare,toe,iːmaɾe,noun,Derived from Proto-South-Astiga: iamaɾe /iamaɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nȳnȳt,hand,nyːnyːt,noun,Derived from Proto-South-Astiga: niuwniut /niuwniut/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
edne,foot,edne,noun,Derived from Proto-South-Astiga: enne /enne/ < Derived from Proto-Astiga: inni /inni/,,,
jalnas,leg,jalnas,noun,Derived from Proto-South-Astiga: janlos /janlos/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
tasa,arm,tasa,noun,Derived from Proto-South-Astiga: tasa /tasa/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
aśē,eye,aɕeː,noun,Derived from Proto-South-Astiga: hassie /hassie/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
marto,ear,maɾto,noun,Derived from Proto-South-Astiga: maɾto /maɾto/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tund,mouth,tund,noun,Derived from Proto-South-Astiga: tund /tund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
sawarī,nose,sawaɾiː,noun,Derived from Proto-South-Astiga: sawaɾia /sawaɾia/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
astaru,cheek,astaɾu,noun,Derived from Proto-South-Astiga: astaɾu /astaɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nunīr,forehead,nuniːɾ,noun,Derived from Proto-South-Astiga: nuniaɾ /nuniaɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabagas,elbow,nabagas,noun,Derived from Proto-South-Astiga: nabagas /nabagas/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
ajeno,chin,ajeno,noun,Derived from Proto-South-Astiga: hajeno /hajeno/ < Derived from Proto-Astiga: pekina /pekina/,,,
aśkȳm,lip,aɕkyːm,noun,Derived from Proto-South-Astiga: aksium /aksium/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
ȳśas,penis,yːɕas,noun,Derived from Proto-South-Astiga: hiusos /hiusos/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
alumȳ,vagina,alumyː,noun,Derived from Proto-South-Astiga: alumiu /alumiu/ < Derived from Proto-Astiga: elumū /elumuː/,,,
aus,butt,aus,noun,Derived from Proto-South-Astiga: ehos /ehos/ < Derived from Proto-Astiga: ipas /ipas/,,,
īśomawar,game,iːɕomawaɾ,noun,Derived from Proto-South-Astiga: iasomawaɾ /iasomawaɾ/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
wanda,wind,wanda,noun,Derived from Proto-South-Astiga: wanda /wanda/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
aśjīr,sight,aɕjiːɾ,noun,Derived from Proto-South-Astiga: hasjiaɾ /hasjiaɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
nośīś,water,noɕiːɕ,noun,Derived from Proto-South-Astiga: nosias /nosias/ < Derived from Proto-Astiga: natōs /natoːs/,,,
jaras,fire,jaɾas,noun,Derived from Proto-South-Astiga: jaɾwas /jaɾwas/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
maira,earth,maiɾa,noun,Derived from Proto-South-Astiga: majʲɾa /majʲɾa/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
ortȳwēgas,school,oɾtyːweːgas,noun,Derived from Proto-South-Astiga: oɾtiuwiegas /oɾtiuwiegas/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
awinȳś,student,awinyːɕ,noun,Derived from Proto-South-Astiga: awinius /awinius/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
kȳre,language,kyːɾe,noun,Derived from Proto-South-Astiga: kiuɾe /kiuɾe/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
śirnu,tongue,ɕiɾnu,noun,Derived from Proto-South-Astiga: siɾnu /siɾnu/ < Derived from Proto-Astiga: seinru /seinɾu/,,,
ajasar,plains,ajasaɾ,noun,Derived from Proto-South-Astiga: ajasaɾ /ajasaɾ/ < Derived from Proto-Astiga: okautŕ /okautɾ̩/,,,
tīśmē,mountain,tiːɕmeː,noun,Derived from Proto-South-Astiga: tiamsie /tiamsie/ < Derived from Proto-Astiga: kʲōmsī /kʲoːmsiː/,,,
orīm,hair,oɾiːm,noun,Derived from Proto-South-Astiga: oɾiam /oɾiam/ < Derived from Proto-Astiga: arjēm /aɾjeːm/,,,
auras,friend,auɾas,noun,Derived from Proto-South-Astiga: euɾas /euɾas/ < Derived from Proto-Astiga: iuros /iuɾos/,,,
lei,way,lei,noun,Derived from Proto-South-Astiga: laa /laa/ < Derived from Proto-Astiga: loje /loje/,,,
ujȳbar,semen,ujyːbaɾ,noun,Derived from Proto-South-Astiga: ujiubaɾ /ujiubaɾ/ < Derived from Proto-Astiga: ukāgʷŕ /ukaːgʷɾ̩/,,,
aśȳtalrȳgam,pedophile,aɕyːtalɾyːgam,noun,Derived from Proto-South-Astiga: asiutaɾliugom /asiutaɾliugom/ < Derived from Proto-Astiga: etūkʲĺrādʷam /etuːkʲl̩ɾaːdʷam/,,,
tagam,follower,tagam,noun,Derived from Proto-South-Astiga: tagom /tagom/ < Derived from Proto-Astiga: kʲodʷam /kʲodʷam/,,,
bastun,thing,bastun,noun,Derived from Proto-South-Astiga: bastun /bastun/ < Derived from Proto-Astiga: gʷśkʲun /gʷs̩kʲun/,,,
rawīk,card,ɾawiːk,noun,Derived from Proto-South-Astiga: ɾawiak /ɾawiak/ < Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,Use as a gift or transaction,,
aśe,baby,aɕe,noun,Derived from Proto-South-Astiga: asse /asse/ < Derived from Proto-Astiga: śti /s̩ti/,,,
erū,song,eɾuː,noun,Derived from Proto-South-Astiga: eɾuho /eɾuho/ < Derived from Proto-Astiga: irupa /iɾupa/,,,
nīga,savanna,niːga,noun,Derived from Proto-South-Astiga: niaga /niaga/ < Derived from Proto-Astiga: nōdʷe /noːdʷe/,,,
rawīk,card,ɾawiːk,noun,Derived from Proto-South-Astiga: ɾawiak /ɾawiak/ < Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,"Use for play or games, or general information",,
śȳwalo,loan,ɕyːwalo,noun,Derived from Proto-South-Astiga: siuwolo /siuwolo/ < Derived from Proto-Astiga: tāvala /taːʋala/,,,
śīrmas,payment,ɕiːɾmas,noun,Derived from Proto-South-Astiga: siaɾmas /siaɾmas/ < Derived from Proto-Astiga: sēmros /seːmɾos/,,,
ēlai,day,eːlai,noun,Derived from Proto-South-Astiga: ielaj /ielaj/ < Derived from Proto-Astiga: īlok /iːlok/,,,
umȳś,night,umyːɕ,noun,Derived from Proto-South-Astiga: umius /umius/ < Derived from Proto-Astiga: umūs /umuːs/,,,
ednemu,pedal,ednemu,noun,Derived from Proto-South-Astiga: ennemu /ennemu/ < Derived from Proto-Astiga: innimu /innimu/,,,
śīwī,city,ɕiːwiː,noun,Derived from Proto-South-Astiga: siawiu /siawiu/ < Derived from Proto-Astiga: sēvā /seːʋaː/,,,
aten,travel,aten,noun,Derived from Proto-South-Astiga: aten /aten/ < Derived from Proto-Astiga: okʲin /okʲin/,,,
ge,I,ge,pronoun,Derived from Proto-South-Astiga: ge /ge/ < Derived from Proto-Astiga: dʷi /dʷi/,,,
masna,you.s,masna,pronoun,Derived from Proto-South-Astiga: mansa /mansa/ < Derived from Proto-Astiga: mńte /mn̩te/,,,
ȳre,it,yːɾe,pronoun,Derived from Proto-South-Astiga: iuɾwe /iuɾwe/ < Derived from Proto-Astiga: ārvi /aːɾʋi/,,,
jag,we,jag,pronoun,Derived from Proto-South-Astiga: jag /jag/ < Derived from Proto-Astiga: kodʷ /kodʷ/,,,
sarī,you.p,saɾiː,pronoun,Derived from Proto-South-Astiga: saɾia /saɾia/ < Derived from Proto-Astiga: serō /seɾoː/,,,
enk,they,enk,pronoun,Derived from Proto-South-Astiga: enk /enk/ < Derived from Proto-Astiga: intʲ /intʲ/,,,
rīwan,go,ɾiːwan,verb,Derived from Proto-South-Astiga: ɾiawan /ɾiawan/ < Derived from Proto-Astiga: rēven /ɾeːʋen/,,,
nīman,speak,niːman,verb,Derived from Proto-South-Astiga: niaman /niaman/ < Derived from Proto-Astiga: nōmen /noːmen/,,,
ojan,do,ojan,verb,Derived from Proto-South-Astiga: ojan /ojan/ < Derived from Proto-Astiga: aken /aken/,,,
śȳmun,help,ɕyːmun,verb,Derived from Proto-South-Astiga: siumun /siumun/ < Derived from Proto-Astiga: tāmun /taːmun/,,,
ośan,see,oɕan,verb,Derived from Proto-South-Astiga: hossan /hossan/ < Derived from Proto-Astiga: pasten /pasten/,,,
śȳban,like,ɕyːban,verb,Derived from Proto-South-Astiga: siuban /siuban/ < Derived from Proto-Astiga: sūgʷen /suːgʷen/,,,
man,be,man,verb,Derived from Proto-South-Astiga: mon /mon/ < Derived from Proto-Astiga: man /man/,,,
sen,NEG,sen,particle,Derived from Proto-South-Astiga: sen /sen/ < Derived from Proto-Astiga: sin /sin/,,,
śuman,want,ɕuman,verb,Derived from Proto-South-Astiga: suman /suman/ < Derived from Proto-Astiga: tumen /tumen/,,,
ȳnogan,lick,yːnogan,verb,Derived from Proto-South-Astiga: iunogan /iunogan/ < Derived from Proto-Astiga: jūnadʷen /juːnadʷen/,,,
waban,give,waban,verb,Derived from Proto-South-Astiga: woban /woban/ < Derived from Proto-Astiga: vagʷen /ʋagʷen/,,,
ortawan,fill,oɾtawan,verb,Derived from Proto-South-Astiga: oɾtawan /oɾtawan/ < Derived from Proto-Astiga: atroven /atɾoʋen/,,,
talrȳśan,love,talɾyːɕan,verb,Derived from Proto-South-Astiga: taɾliusan /taɾliusan/ < Derived from Proto-Astiga: kʲĺrāsen /kʲl̩ɾaːsen/,,,
aśrīm,more,aɕɾiːm,adjective,Derived from Proto-South-Astiga: aɾsiam /aɾsiam/ < Derived from Proto-Astiga: ŕtēm /ɾ̩teːm/,,,
tein,follow,tein,verb,Derived from Proto-South-Astiga: tahan /tahan/ < Derived from Proto-Astiga: kʲopen /kʲopen/,,,
waran,have,waɾan,verb,Derived from Proto-South-Astiga: waɾan /waɾan/ < Derived from Proto-Astiga: veren /ʋeɾen/,,,
nundan,buy,nundan,verb,Derived from Proto-South-Astiga: nundan /nundan/ < Derived from Proto-Astiga: nundʷen /nundʷen/,,,
maśan,deceive,maɕan,verb,Derived from Proto-South-Astiga: masson /masson/ < Derived from Proto-Astiga: mśtan /ms̩tan/,,,
