Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
iesdom,man,iesdom,noun,Derived from Proto-South-Astiga: iesdom /iesdom/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tiaɾwos,woman,tiaɾwos,noun,Derived from Proto-South-Astiga: tiaɾwos /tiaɾwos/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ɾia,person,ɾia,noun,Derived from Proto-South-Astiga: ɾia /ɾia/ < Derived from Proto-Astiga: rē /ɾeː/,,,
oksu,boy,oksu,noun,Derived from Proto-South-Astiga: oksu /oksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
jaɾse,girl,jaɾse,noun,Derived from Proto-South-Astiga: jaɾse /jaɾse/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
asiumas,child,asiumas,noun,Derived from Proto-South-Astiga: asiumas /asiumas/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
jaɾo,head,jaɾo,noun,Derived from Proto-South-Astiga: jaɾo /jaɾo/ < Derived from Proto-Astiga: kerra /kera/,,,
wopsos,shoulder,wopsos,noun,Derived from Proto-South-Astiga: wopsos /wopsos/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ulian,knee,ulian,noun,Derived from Proto-South-Astiga: ulian /ulian/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
iamaɾe,toe,iamaɾe,noun,Derived from Proto-South-Astiga: iamaɾe /iamaɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
niuwniut,hand,niuwniut,noun,Derived from Proto-South-Astiga: niuwniut /niuwniut/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
enne,foot,enne,noun,Derived from Proto-South-Astiga: enne /enne/ < Derived from Proto-Astiga: inni /inni/,,,
janlos,leg,janlos,noun,Derived from Proto-South-Astiga: janlos /janlos/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
tasa,arm,tasa,noun,Derived from Proto-South-Astiga: tasa /tasa/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
hassie,eye,hassie,noun,Derived from Proto-South-Astiga: hassie /hassie/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
maɾto,ear,maɾto,noun,Derived from Proto-South-Astiga: maɾto /maɾto/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tund,mouth,tund,noun,Derived from Proto-South-Astiga: tund /tund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
sawaɾia,nose,sawaɾia,noun,Derived from Proto-South-Astiga: sawaɾia /sawaɾia/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
astaɾu,cheek,astaɾu,noun,Derived from Proto-South-Astiga: astaɾu /astaɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nuniaɾ,forehead,nuniaɾ,noun,Derived from Proto-South-Astiga: nuniaɾ /nuniaɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabagas,elbow,nabagas,noun,Derived from Proto-South-Astiga: nabagas /nabagas/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
hajeno,chin,hajeno,noun,Derived from Proto-South-Astiga: hajeno /hajeno/ < Derived from Proto-Astiga: pekina /pekina/,,,
aksium,lip,aksium,noun,Derived from Proto-South-Astiga: aksium /aksium/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
hiusos,penis,hiusos,noun,Derived from Proto-South-Astiga: hiusos /hiusos/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
alumiu,vagina,alumiu,noun,Derived from Proto-South-Astiga: alumiu /alumiu/ < Derived from Proto-Astiga: elumū /elumuː/,,,
ehos,butt,ehos,noun,Derived from Proto-South-Astiga: ehos /ehos/ < Derived from Proto-Astiga: ipas /ipas/,,,
iasomawaɾ,game,iasomawaɾ,noun,Derived from Proto-South-Astiga: iasomawaɾ /iasomawaɾ/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
wanda,wind,wanda,noun,Derived from Proto-South-Astiga: wanda /wanda/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
hasjiaɾ,sight,hasjiaɾ,noun,Derived from Proto-South-Astiga: hasjiaɾ /hasjiaɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
nosias,water,nosias,noun,Derived from Proto-South-Astiga: nosias /nosias/ < Derived from Proto-Astiga: natōs /natoːs/,,,
jaɾwas,fire,jaɾwas,noun,Derived from Proto-South-Astiga: jaɾwas /jaɾwas/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
majʲɾa,earth,majʲɾa,noun,Derived from Proto-South-Astiga: majʲɾa /majʲɾa/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
oɾtiuwiegas,school,oɾtiuwiegas,noun,Derived from Proto-South-Astiga: oɾtiuwiegas /oɾtiuwiegas/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
awinius,student,awinius,noun,Derived from Proto-South-Astiga: awinius /awinius/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
