Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
wahe,land,wahɛ,noun,,,,
koa,person,kɔa,noun,,,,
ḵese,I,kʰɛsɛ,pronoun,,,,
ṯenoa,sea,tʰɛnɔa,noun,,,,
hui,you.s,hui,pronoun,,,,
dai,village,dai,noun,,,,
uḵo,house,ukʰɔ,noun,,,,
ḵuliu,town,kʰuliu,noun,,Settlement generator component,settlement-suggested,
iŋua,city,iŋua,noun,,Settlement generator component,settlement-suggested,
enoku,settlement,ɛnɔku,noun,,Settlement generator component,settlement-suggested,
ḵiha,fort,kʰiha,noun,,Settlement generator component,settlement-suggested,
ḵayawo,castle,kʰajawɔ,noun,,Settlement generator component,settlement-suggested,
