Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ězam,man,æzam,noun,Derived from Proto-Tekat: ēzam /eːzam/ < Derived from Proto-South-Astiga: iesdom /iesdom/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tiras,woman,tiɾas,noun,Derived from Proto-Tekat: tīras /tiːɾas/ < Derived from Proto-South-Astiga: tiaɾwos /tiaɾwos/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ri,person,ɾi,noun,Derived from Proto-Tekat: rī /ɾiː/ < Derived from Proto-South-Astiga: ɾia /ɾia/ < Derived from Proto-Astiga: rē /ɾeː/,,,
aškъ,boy,aʃkʊ,noun,Derived from Proto-Tekat: ośku /oɕku/ < Derived from Proto-South-Astiga: oksu /oksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
jašrь,girl,jaʃɾɨ,noun,Derived from Proto-Tekat: jaśre /jaɕɾe/ < Derived from Proto-South-Astiga: jaɾse /jaɾse/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
ašimas,child,aʃimas,noun,Derived from Proto-Tekat: aśȳmas /aɕyːmas/ < Derived from Proto-South-Astiga: asiumas /asiumas/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
jarъ,head,jaɾʊ,noun,Derived from Proto-Tekat: jaro /jaɾo/ < Derived from Proto-South-Astiga: jaɾo /jaɾo/ < Derived from Proto-Astiga: kerra /kera/,,,
vaspas,shoulder,ʋaspas,noun,Derived from Proto-Tekat: waspas /waspas/ < Derived from Proto-South-Astiga: wopsos /wopsos/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ъlin,knee,ʊlin,noun,Derived from Proto-Tekat: ulīn /uliːn/ < Derived from Proto-South-Astiga: ulian /ulian/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
imarь,toe,imaɾɨ,noun,Derived from Proto-Tekat: īmare /iːmaɾe/ < Derived from Proto-South-Astiga: iamaɾe /iamaɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
ninit,hand,ninit,noun,Derived from Proto-Tekat: nȳnȳt /nyːnyːt/ < Derived from Proto-South-Astiga: niuwniut /niuwniut/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ednь,foot,ɛdnɨ,noun,Derived from Proto-Tekat: edne /edne/ < Derived from Proto-South-Astiga: enne /enne/ < Derived from Proto-Astiga: inni /inni/,,,
jalnas,leg,jalnas,noun,Derived from Proto-Tekat: jalnas /jalnas/ < Derived from Proto-South-Astiga: janlos /janlos/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
tasa,arm,tasa,noun,Derived from Proto-Tekat: tasa /tasa/ < Derived from Proto-South-Astiga: tasa /tasa/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
ašě,eye,aʃæ,noun,Derived from Proto-Tekat: aśē /aɕeː/ < Derived from Proto-South-Astiga: hassie /hassie/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
martъ,ear,maɾtʊ,noun,Derived from Proto-Tekat: marto /maɾto/ < Derived from Proto-South-Astiga: maɾto /maɾto/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tъnd,mouth,tʊnd,noun,Derived from Proto-Tekat: tund /tund/ < Derived from Proto-South-Astiga: tund /tund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
savari,nose,saʋaɾi,noun,Derived from Proto-Tekat: sawarī /sawaɾiː/ < Derived from Proto-South-Astiga: sawaɾia /sawaɾia/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
astarъ,cheek,astaɾʊ,noun,Derived from Proto-Tekat: astaru /astaɾu/ < Derived from Proto-South-Astiga: astaɾu /astaɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nъnir,forehead,nʊniɾ,noun,Derived from Proto-Tekat: nunīr /nuniːɾ/ < Derived from Proto-South-Astiga: nuniaɾ /nuniaɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabagas,elbow,nabagas,noun,Derived from Proto-Tekat: nabagas /nabagas/ < Derived from Proto-South-Astiga: nabagas /nabagas/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
