Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
eːzam,man,eːzam,noun,Derived from Proto-Tekat: ēzam /eːzam/ < Derived from Proto-South-Astiga: iesdom /iesdom/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
tiːɾas,woman,tiːɾas,noun,Derived from Proto-Tekat: tīras /tiːɾas/ < Derived from Proto-South-Astiga: tiaɾwos /tiaɾwos/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ɾiː,person,ɾiː,noun,Derived from Proto-Tekat: rī /ɾiː/ < Derived from Proto-South-Astiga: ɾia /ɾia/ < Derived from Proto-Astiga: rē /ɾeː/,,,
oɕku,boy,oɕku,noun,Derived from Proto-Tekat: ośku /oɕku/ < Derived from Proto-South-Astiga: oksu /oksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
jaɕɾe,girl,jaɕɾe,noun,Derived from Proto-Tekat: jaśre /jaɕɾe/ < Derived from Proto-South-Astiga: jaɾse /jaɾse/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
aɕyːmas,child,aɕyːmas,noun,Derived from Proto-Tekat: aśȳmas /aɕyːmas/ < Derived from Proto-South-Astiga: asiumas /asiumas/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
jaɾo,head,jaɾo,noun,Derived from Proto-Tekat: jaro /jaɾo/ < Derived from Proto-South-Astiga: jaɾo /jaɾo/ < Derived from Proto-Astiga: kerra /kera/,,,
waspas,shoulder,waspas,noun,Derived from Proto-Tekat: waspas /waspas/ < Derived from Proto-South-Astiga: wopsos /wopsos/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
uliːn,knee,uliːn,noun,Derived from Proto-Tekat: ulīn /uliːn/ < Derived from Proto-South-Astiga: ulian /ulian/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
iːmaɾe,toe,iːmaɾe,noun,Derived from Proto-Tekat: īmare /iːmaɾe/ < Derived from Proto-South-Astiga: iamaɾe /iamaɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nyːnyːt,hand,nyːnyːt,noun,Derived from Proto-Tekat: nȳnȳt /nyːnyːt/ < Derived from Proto-South-Astiga: niuwniut /niuwniut/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
edne,foot,edne,noun,Derived from Proto-Tekat: edne /edne/ < Derived from Proto-South-Astiga: enne /enne/ < Derived from Proto-Astiga: inni /inni/,,,
jalnas,leg,jalnas,noun,Derived from Proto-Tekat: jalnas /jalnas/ < Derived from Proto-South-Astiga: janlos /janlos/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
tasa,arm,tasa,noun,Derived from Proto-Tekat: tasa /tasa/ < Derived from Proto-South-Astiga: tasa /tasa/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
aɕeː,eye,aɕeː,noun,Derived from Proto-Tekat: aśē /aɕeː/ < Derived from Proto-South-Astiga: hassie /hassie/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
maɾto,ear,maɾto,noun,Derived from Proto-Tekat: marto /maɾto/ < Derived from Proto-South-Astiga: maɾto /maɾto/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
tund,mouth,tund,noun,Derived from Proto-Tekat: tund /tund/ < Derived from Proto-South-Astiga: tund /tund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
sawaɾiː,nose,sawaɾiː,noun,Derived from Proto-Tekat: sawarī /sawaɾiː/ < Derived from Proto-South-Astiga: sawaɾia /sawaɾia/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
astaɾu,cheek,astaɾu,noun,Derived from Proto-Tekat: astaru /astaɾu/ < Derived from Proto-South-Astiga: astaɾu /astaɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nuniːɾ,forehead,nuniːɾ,noun,Derived from Proto-Tekat: nunīr /nuniːɾ/ < Derived from Proto-South-Astiga: nuniaɾ /nuniaɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabagas,elbow,nabagas,noun,Derived from Proto-Tekat: nabagas /nabagas/ < Derived from Proto-South-Astiga: nabagas /nabagas/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
ajeno,chin,ajeno,noun,Derived from Proto-Tekat: ajeno /ajeno/ < Derived from Proto-South-Astiga: hajeno /hajeno/ < Derived from Proto-Astiga: pekina /pekina/,,,
aɕkyːm,lip,aɕkyːm,noun,Derived from Proto-Tekat: aśkȳm /aɕkyːm/ < Derived from Proto-South-Astiga: aksium /aksium/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
yːɕas,penis,yːɕas,noun,Derived from Proto-Tekat: ȳśas /yːɕas/ < Derived from Proto-South-Astiga: hiusos /hiusos/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
alumyː,vagina,alumyː,noun,Derived from Proto-Tekat: alumȳ /alumyː/ < Derived from Proto-South-Astiga: alumiu /alumiu/ < Derived from Proto-Astiga: elumū /elumuː/,,,
aus,butt,aus,noun,Derived from Proto-Tekat: aus /aus/ < Derived from Proto-South-Astiga: ehos /ehos/ < Derived from Proto-Astiga: ipas /ipas/,,,
iːɕomawaɾ,game,iːɕomawaɾ,noun,Derived from Proto-Tekat: īśomawar /iːɕomawaɾ/ < Derived from Proto-South-Astiga: iasomawaɾ /iasomawaɾ/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
wanda,wind,wanda,noun,Derived from Proto-Tekat: wanda /wanda/ < Derived from Proto-South-Astiga: wanda /wanda/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
aɕjiːɾ,sight,aɕjiːɾ,noun,Derived from Proto-Tekat: aśjīr /aɕjiːɾ/ < Derived from Proto-South-Astiga: hasjiaɾ /hasjiaɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
noɕiːɕ,water,noɕiːɕ,noun,Derived from Proto-Tekat: nośīś /noɕiːɕ/ < Derived from Proto-South-Astiga: nosias /nosias/ < Derived from Proto-Astiga: natōs /natoːs/,,,
jaɾas,fire,jaɾas,noun,Derived from Proto-Tekat: jaras /jaɾas/ < Derived from Proto-South-Astiga: jaɾwas /jaɾwas/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
maiɾa,earth,maiɾa,noun,Derived from Proto-Tekat: maira /maiɾa/ < Derived from Proto-South-Astiga: majʲɾa /majʲɾa/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
oɾtyːweːgas,school,oɾtyːweːgas,noun,Derived from Proto-Tekat: ortȳwēgas /oɾtyːweːgas/ < Derived from Proto-South-Astiga: oɾtiuwiegas /oɾtiuwiegas/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
awinyːɕ,student,awinyːɕ,noun,Derived from Proto-Tekat: awinȳś /awinyːɕ/ < Derived from Proto-South-Astiga: awinius /awinius/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
kyːɾe,language,kyːɾe,noun,Derived from Proto-Tekat: kȳre /kyːɾe/ < Derived from Proto-South-Astiga: kiuɾe /kiuɾe/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
ɕiɾnu,tongue,ɕiɾnu,noun,Derived from Proto-Tekat: śirnu /ɕiɾnu/ < Derived from Proto-South-Astiga: siɾnu /siɾnu/ < Derived from Proto-Astiga: seinru /seinɾu/,,,
ajasaɾ,plains,ajasaɾ,noun,Derived from Proto-Tekat: ajasar /ajasaɾ/ < Derived from Proto-South-Astiga: ajasaɾ /ajasaɾ/ < Derived from Proto-Astiga: okautŕ /okautɾ̩/,,,
tiːɕmeː,mountain,tiːɕmeː,noun,Derived from Proto-Tekat: tīśmē /tiːɕmeː/ < Derived from Proto-South-Astiga: tiamsie /tiamsie/ < Derived from Proto-Astiga: kʲōmsī /kʲoːmsiː/,,,
oɾiːm,hair,oɾiːm,noun,Derived from Proto-Tekat: orīm /oɾiːm/ < Derived from Proto-South-Astiga: oɾiam /oɾiam/ < Derived from Proto-Astiga: arjēm /aɾjeːm/,,,
auɾas,friend,auɾas,noun,Derived from Proto-Tekat: auras /auɾas/ < Derived from Proto-South-Astiga: euɾas /euɾas/ < Derived from Proto-Astiga: iuros /iuɾos/,,,
lei,way,lei,noun,Derived from Proto-Tekat: lei /lei/ < Derived from Proto-South-Astiga: laa /laa/ < Derived from Proto-Astiga: loje /loje/,,,
ujyːbaɾ,semen,ujyːbaɾ,noun,Derived from Proto-Tekat: ujȳbar /ujyːbaɾ/ < Derived from Proto-South-Astiga: ujiubaɾ /ujiubaɾ/ < Derived from Proto-Astiga: ukāgʷŕ /ukaːgʷɾ̩/,,,
aɕyːtalɾyːgam,pedophile,aɕyːtalɾyːgam,noun,Derived from Proto-Tekat: aśȳtalrȳgam /aɕyːtalɾyːgam/ < Derived from Proto-South-Astiga: asiutaɾliugom /asiutaɾliugom/ < Derived from Proto-Astiga: etūkʲĺrādʷam /etuːkʲl̩ɾaːdʷam/,,,
tagam,follower,tagam,noun,Derived from Proto-Tekat: tagam /tagam/ < Derived from Proto-South-Astiga: tagom /tagom/ < Derived from Proto-Astiga: kʲodʷam /kʲodʷam/,,,
bastun,thing,bastun,noun,Derived from Proto-Tekat: bastun /bastun/ < Derived from Proto-South-Astiga: bastun /bastun/ < Derived from Proto-Astiga: gʷśkʲun /gʷs̩kʲun/,,,
ɾawiːk,card,ɾawiːk,noun,Derived from Proto-Tekat: rawīk /ɾawiːk/ < Derived from Proto-South-Astiga: ɾawiak /ɾawiak/ < Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,Use as a gift or transaction,,
olo,baby,olo,noun,Derived from Proto-Tekat: olo /olo/ < Derived from Proto-South-Astiga: olho /olho/ < Derived from Proto-Astiga: alpa /alpa/,,,
eɾuː,song,eɾuː,noun,Derived from Proto-Tekat: erū /eɾuː/ < Derived from Proto-South-Astiga: eɾuho /eɾuho/ < Derived from Proto-Astiga: irupa /iɾupa/,,,
niːga,savanna,niːga,noun,Derived from Proto-Tekat: nīga /niːga/ < Derived from Proto-South-Astiga: niaga /niaga/ < Derived from Proto-Astiga: nōdʷe /noːdʷe/,,,
ɾawiːk,card,ɾawiːk,noun,Derived from Proto-Tekat: rawīk /ɾawiːk/ < Derived from Proto-South-Astiga: ɾawiak /ɾawiak/ < Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,"Use for play or games, or general information",,
ɕyːwalo,loan,ɕyːwalo,noun,Derived from Proto-Tekat: śȳwalo /ɕyːwalo/ < Derived from Proto-South-Astiga: siuwolo /siuwolo/ < Derived from Proto-Astiga: tāvala /taːʋala/,,,
