Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ita,man,ita,noun,Derived from Old Sowa: ita /ita/ < Derived from Proto-North-Insular-Astiga: éta /ɛːta/ < Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
soratsu,woman,sɔɾat͡sɯ,noun,Derived from Old Sowa: soratu /sɔɾatu/ < Derived from Proto-North-Insular-Astiga: sárat /saːɾat/ < Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ri,person,ɾi,noun,Derived from Old Sowa: ri /ɾi/ < Derived from Proto-North-Insular-Astiga: rí /ɾiː/ < Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
aso,boy,asɔ,noun,Derived from Old Sowa: aso /asɔ/ < Derived from Proto-North-Insular-Astiga: aso /asɔ/ < Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kyae,girl,kʲaɛ,noun,Derived from Old Sowa: kyaya /kʲaja/ < Derived from Proto-North-Insular-Astiga: kraya /kɾaja/ < Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
aiha,child,aiha,noun,Derived from Old Sowa: ayipa /ajipa/ < Derived from Proto-North-Insular-Astiga: ayíṃa /ajiːm̥a/ < Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kawa,head,kawa,noun,Derived from Old Sowa: kawa /kawa/ < Derived from Proto-North-Insular-Astiga: kawa /kawa/ < Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
ōtsu,shoulder,ɔːt͡sɯ,noun,Derived from Old Sowa: ahatu /ahatu/ < Derived from Proto-North-Insular-Astiga: afat /aw̥at/ < Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
oi,knee,ɔi,noun,Derived from Old Sowa: owi /ɔwi/ < Derived from Proto-North-Insular-Astiga: owí /ɔwiː/ < Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
imara,toe,imaɾa,noun,Derived from Old Sowa: imara /imaɾa/ < Derived from Proto-North-Insular-Astiga: ímara /iːmaɾa/ < Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nonosu,hand,nɔnɔsɯ,noun,Derived from Old Sowa: nonosu /nɔnɔsu/ < Derived from Proto-North-Insular-Astiga: nánás /naːnaːs/ < Derived from Proto-Insular-Astiga: nōnōs /nɔːnɔːs/ < Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
an,foot,an,noun,Derived from Old Sowa: an /an/ < Derived from Proto-North-Insular-Astiga: ana /ana/ < Derived from Proto-Insular-Astiga: ene /ɛnɛ/ < Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
nawa,leg,nawa,noun,Derived from Old Sowa: nawa /nawa/ < Derived from Proto-North-Insular-Astiga: knawa /knawa/ < Derived from Proto-Insular-Astiga: knala /knaɫa/ < Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
sae,arm,saɛ,noun,Derived from Old Sowa: saya /saja/ < Derived from Proto-North-Insular-Astiga: saya /saja/ < Derived from Proto-Insular-Astiga: saða /saða/ < Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
ai,eye,ai,noun,Derived from Old Sowa: hayi /haji/ < Derived from Proto-North-Insular-Astiga: fayé /w̥ajɛː/ < Derived from Proto-Insular-Astiga: phaðėa /phaðea/ < Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
murasa,ear,mɯɾasa,noun,Derived from Old Sowa: murasa /muɾasa/ < Derived from Proto-North-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
