Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
ita,man,ita,noun,Derived from Old Sowa: ita /ita/ < Derived from Proto-North-Insular-Astiga: éta /ɛːta/ < Derived from Proto-Insular-Astiga: ėahta /eahta/ < Derived from Proto-North-Astiga: iestan /iɛstan/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
sɔɾatu,woman,sɔɾatu,noun,Derived from Old Sowa: soratu /sɔɾatu/ < Derived from Proto-North-Insular-Astiga: sárat /saːɾat/ < Derived from Proto-Insular-Astiga: sōrat /sɔːɾat/ < Derived from Proto-North-Astiga: śaurat /ɕauɾat/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
ɾi,person,ɾi,noun,Derived from Old Sowa: ri /ɾi/ < Derived from Proto-North-Insular-Astiga: rí /ɾiː/ < Derived from Proto-Insular-Astiga: rē /ɾɛː/ < Derived from Proto-North-Astiga: rei /ɾɛi/ < Derived from Proto-Astiga: rē /ɾeː/,,,
asɔ,boy,asɔ,noun,Derived from Old Sowa: aso /asɔ/ < Derived from Proto-North-Insular-Astiga: aso /asɔ/ < Derived from Proto-Insular-Astiga: akhu /akhʊ/ < Derived from Proto-North-Astiga: aksu /aksu/ < Derived from Proto-Astiga: aksu /aksu/,,,
kʲaja,girl,kʲaja,noun,Derived from Old Sowa: kyaya /kʲaja/ < Derived from Proto-North-Insular-Astiga: kraya /kɾaja/ < Derived from Proto-Insular-Astiga: kraðe /kɾaðɛ/ < Derived from Proto-North-Astiga: kratė /kɾate/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
ajipa,child,ajipa,noun,Derived from Old Sowa: ayipa /ajipa/ < Derived from Proto-North-Insular-Astiga: ayíṃa /ajiːm̥a/ < Derived from Proto-Insular-Astiga: aðēmha /aðɛːmha/ < Derived from Proto-North-Astiga: etuemsa /ɛtuɛmsa/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kawa,head,kawa,noun,Derived from Old Sowa: kawa /kawa/ < Derived from Proto-North-Insular-Astiga: kawa /kawa/ < Derived from Proto-Insular-Astiga: kala /kaɫa/ < Derived from Proto-North-Astiga: kela /kɛla/ < Derived from Proto-Astiga: kerra /kera/,,,
ahatu,shoulder,ahatu,noun,Derived from Old Sowa: ahatu /ahatu/ < Derived from Proto-North-Insular-Astiga: afat /aw̥at/ < Derived from Proto-Insular-Astiga: aphat /aphat/ < Derived from Proto-North-Astiga: apsat /apsat/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ɔwi,knee,ɔwi,noun,Derived from Old Sowa: owi /ɔwi/ < Derived from Proto-North-Insular-Astiga: owí /ɔwiː/ < Derived from Proto-Insular-Astiga: ulē /ʊɫɛː/ < Derived from Proto-North-Astiga: ulein /ulɛin/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
imaɾa,toe,imaɾa,noun,Derived from Old Sowa: imara /imaɾa/ < Derived from Proto-North-Insular-Astiga: ímara /iːmaɾa/ < Derived from Proto-Insular-Astiga: ēmore /ɛːmɔɾɛ/ < Derived from Proto-North-Astiga: eimorė /ɛimɔɾe/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nɔnɔsu,hand,nɔnɔsu,noun,Derived from Old Sowa: nonosu /nɔnɔsu/ < Derived from Proto-North-Insular-Astiga: nánás /naːnaːs/ < Derived from Proto-Insular-Astiga: nōnōs /nɔːnɔːs/ < Derived from Proto-North-Astiga: naunauś /naunauɕ/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
an,foot,an,noun,Derived from Old Sowa: an /an/ < Derived from Proto-North-Insular-Astiga: ana /ana/ < Derived from Proto-Insular-Astiga: ene /ɛnɛ/ < Derived from Proto-North-Astiga: ėnʲė /enʲe/ < Derived from Proto-Astiga: inni /inni/,,,
nawa,leg,nawa,noun,Derived from Old Sowa: nawa /nawa/ < Derived from Proto-North-Insular-Astiga: knawa /knawa/ < Derived from Proto-Insular-Astiga: knala /knaɫa/ < Derived from Proto-North-Astiga: knalas /knalas/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
saja,arm,saja,noun,Derived from Old Sowa: saya /saja/ < Derived from Proto-North-Insular-Astiga: saya /saja/ < Derived from Proto-Insular-Astiga: saða /saða/ < Derived from Proto-North-Astiga: śete /ɕɛtɛ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
haji,eye,haji,noun,Derived from Old Sowa: hayi /haji/ < Derived from Proto-North-Insular-Astiga: fayé /w̥ajɛː/ < Derived from Proto-Insular-Astiga: phaðėa /phaðea/ < Derived from Proto-North-Astiga: psatie /psatiɛ/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
muɾasa,ear,muɾasa,noun,Derived from Old Sowa: murasa /muɾasa/ < Derived from Proto-North-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-Insular-Astiga: mrasa /mɾasa/ < Derived from Proto-North-Astiga: mraśa /mɾaɕa/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
sɔndu,mouth,sɔndu,noun,Derived from Old Sowa: sondu /sɔndu/ < Derived from Proto-North-Insular-Astiga: sond /sɔnd/ < Derived from Proto-Insular-Astiga: sund /sʊnd/ < Derived from Proto-North-Astiga: śund /ɕund/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
tɔɾi,nose,tɔɾi,noun,Derived from Old Sowa: tori /tɔɾi/ < Derived from Proto-North-Insular-Astiga: tárí /taːɾiː/ < Derived from Proto-Insular-Astiga: toarē /tɔaɾɛː/ < Derived from Proto-North-Astiga: toerei /tɔɛɾɛi/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
asaɾɔ,cheek,asaɾɔ,noun,Derived from Old Sowa: asaro /asaɾɔ/ < Derived from Proto-North-Insular-Astiga: asaro /asaɾɔ/ < Derived from Proto-Insular-Astiga: hasoru /hasɔɾʊ/ < Derived from Proto-North-Astiga: saśoru /saɕɔɾu/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nɔniɾu,forehead,nɔniɾu,noun,Derived from Old Sowa: noniru /nɔniɾu/ < Derived from Proto-North-Insular-Astiga: nonír /nɔniːɾ/ < Derived from Proto-Insular-Astiga: nunēr /nʊnɛːɾ/ < Derived from Proto-North-Astiga: nuneir /nunɛiɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nagaza,elbow,nagaza,noun,Derived from Old Sowa: nagaza /nagaza/ < Derived from Proto-North-Insular-Astiga: nagaza /nagaza/ < Derived from Proto-Insular-Astiga: nogadha /nɔgadha/ < Derived from Proto-North-Astiga: nogedsa /nɔgɛdsa/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pɔn,chin,pɔn,noun,Derived from Old Sowa: pon /pɔn/ < Derived from Proto-North-Insular-Astiga: pána /paːna/ < Derived from Proto-Insular-Astiga: paɣena /paɣɛna/ < Derived from Proto-North-Astiga: pekėna /pɛkena/ < Derived from Proto-Astiga: pekina /pekina/,,,
asi,lip,asi,noun,Derived from Old Sowa: asi /asi/ < Derived from Proto-North-Insular-Astiga: así /asiː/ < Derived from Proto-Insular-Astiga: okhē /ɔkhɛː/ < Derived from Proto-North-Astiga: oksuen /ɔksuɛn/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
pɔtu,penis,pɔtu,noun,Derived from Old Sowa: potu /pɔtu/ < Derived from Proto-North-Insular-Astiga: pát /paːt/ < Derived from Proto-Insular-Astiga: pōhat /pɔːhat/ < Derived from Proto-North-Astiga: pausat /pausat/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
awɔmi,vagina,awɔmi,noun,Derived from Old Sowa: awomi /awɔmi/ < Derived from Proto-North-Insular-Astiga: awomí /awɔmiː/ < Derived from Proto-Insular-Astiga: alumē /aɫʊmɛː/ < Derived from Proto-North-Astiga: elumue /ɛlumuɛ/ < Derived from Proto-Astiga: elumū /elumuː/,,,
awa,butt,awa,noun,Derived from Old Sowa: awa /awa/ < Derived from Proto-North-Insular-Astiga: awa /awa/ < Derived from Proto-Insular-Astiga: eβa /ɛβa/ < Derived from Proto-North-Astiga: ėpas /epas/ < Derived from Proto-Astiga: ipas /ipas/,,,
ijamaɾa,game,ijamaɾa,noun,Derived from Old Sowa: iyamara /ijamaɾa/ < Derived from Proto-North-Insular-Astiga: íyamara /iːjamaɾa/ < Derived from Proto-Insular-Astiga: ēðamara /ɛːðamaɾa/ < Derived from Proto-North-Astiga: eitamera /ɛitamɛɾa/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
naɾa,wind,naɾa,noun,Derived from Old Sowa: nara /naɾa/ < Derived from Proto-North-Insular-Astiga: nara /naɾa/ < Derived from Proto-Insular-Astiga: nado /nadɔ/ < Derived from Proto-North-Astiga: nado /nadɔ/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
hɔiɾu,sight,hɔiɾu,noun,Derived from Old Sowa: hoiru /hɔiɾu/ < Derived from Proto-North-Insular-Astiga: fáír /w̥aːiːɾ/ < Derived from Proto-Insular-Astiga: phaɣēr /phaɣɛːɾ/ < Derived from Proto-North-Astiga: psakeir /psakɛiɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
najɔ,water,najɔ,noun,Derived from Old Sowa: nayo /najɔ/ < Derived from Proto-North-Insular-Astiga: nayá /najaː/ < Derived from Proto-Insular-Astiga: naðō /naðɔː/ < Derived from Proto-North-Astiga: nataus /nataus/ < Derived from Proto-Astiga: natōs /natoːs/,,,
kʲɔ,fire,kʲɔ,noun,Derived from Old Sowa: kyo /kʲɔ/ < Derived from Proto-North-Insular-Astiga: krá /kɾaː/ < Derived from Proto-Insular-Astiga: krao /kɾaɔ/ < Derived from Proto-North-Astiga: kraos /kɾaɔs/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
masʲɔ,earth,masʲɔ,noun,Derived from Old Sowa: masyo /masʲɔ/ < Derived from Proto-North-Insular-Astiga: masrá /masɾaː/ < Derived from Proto-Insular-Astiga: masrō /masɾɔː/ < Derived from Proto-North-Astiga: meśrau /mɛɕɾau/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
ad͡zɔiza,school,ad͡zɔiza,noun,Derived from Old Sowa: adzoiza /ad͡zɔiza/ < Derived from Proto-North-Insular-Astiga: ayráéza /ajɾaːɛːza/ < Derived from Proto-Insular-Astiga: aðrōėadha /aðɾɔːeadha/ < Derived from Proto-North-Astiga: atrauiedsa /atɾauiɛdsa/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
ɔini,student,ɔini,noun,Derived from Old Sowa: oini /ɔini/ < Derived from Proto-North-Insular-Astiga: áíní /aːiːniː/ < Derived from Proto-Insular-Astiga: ōēnē /ɔːɛːnɛː/ < Derived from Proto-North-Astiga: aueinues /auɛinuɛs/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
sɔwa,language,sɔwa,noun,Derived from Old Sowa: sowa /sɔwa/ < Derived from Proto-North-Insular-Astiga: sáwa /saːwa/ < Derived from Proto-Insular-Astiga: sōle /sɔːɫɛ/ < Derived from Proto-North-Astiga: caulė /caule/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
inuɾɔ,tongue,inuɾɔ,noun,Derived from Old Sowa: inuro /inuɾɔ/ < Derived from Proto-North-Insular-Astiga: ínro /iːnɾɔ/ < Derived from Proto-Insular-Astiga: hēnru /hɛːnɾʊ/ < Derived from Proto-North-Astiga: seinru /sɛinɾu/ < Derived from Proto-Astiga: seinru /seinɾu/,,,
