Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
eeskeu,man,æːskæu,noun,Derived from Middle Esti: ãiskem /ʌiskɛm/ < Derived from Old Esti: iiskem /ɪiskɛm/ < Derived from Classical Esti: īsgam /iːsgæm/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
čoorĝe,woman,t͡ʃɒːɾɣæ,noun,Derived from Middle Esti: čourueh /t͡ʃouɾwɛh/ < Derived from Old Esti: ćōrwet /t͡ɕoːɾwɛt/ < Derived from Classical Esti: cōrvat /coːɾwæt/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
notookoor,person,nɒtɒːkɒːɾ,noun,Derived from Middle Esti: notoukour /notoukouɾ/ < Derived from Old Esti: notōkōr /nɔtoːkoːɾ/ < Derived from Classical Esti: nətōkōr /nətoːkoːɾ/ < Derived from Proto-Astiga: ńtōkōr /n̩toːkoːɾ/,,,
esko,boy,æskɒ,noun,Derived from Middle Esti: esko /ɛsko/ < Derived from Old Esti: ekso /ɛksɔ/ < Derived from Classical Esti: akso /æksɔ/ < Derived from Proto-Astiga: aksu /aksu/,,,
kroti,girl,kɾɒti,noun,Derived from Middle Esti: kroti /kɾotɪ/ < Derived from Old Esti: kroti /kɾɔtɪ/ < Derived from Classical Esti: krətə /kɾətə/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
itaausi,child,itaːusi,noun,Derived from Middle Esti: itãumsi /ɪtʌumsɪ/ < Derived from Old Esti: itəumsi /ɪtəumsɪ/ < Derived from Classical Esti: itūmsə /ɪtuːmsə/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kihe,head,kihæ,noun,Derived from Middle Esti: kiθe /kɪθɛ/ < Derived from Old Esti: kithe /kɪtʰɛ/ < Derived from Classical Esti: kitta /kɪtːæ/ < Derived from Proto-Astiga: kerra /kera/,,,
bespe,shoulder,bæspæ,noun,Derived from Middle Esti: vespeh /βɛspɛh/ < Derived from Old Esti: wepset /wɛpsɛt/ < Derived from Classical Esti: vapsat /wæpsæt/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
olien,knee,ɒliæn,noun,Derived from Middle Esti: olīn /oliːn/ < Derived from Old Esti: olīn /ɔliːn/ < Derived from Classical Esti: olēn /ɔleːn/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
iemari,toe,iæmaɾi,noun,Derived from Middle Esti: īmari /iːmaɾɪ/ < Derived from Old Esti: īmari /iːmaɾɪ/ < Derived from Classical Esti: ēmârə /eːmɑɾə/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
