Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
t͡ʃu,do,t͡ʃu,verb,Derived from Proto-Nakka: ču /t͡ʃu/,,,
kurawa,boy,kurawa,noun,Derived from Proto-Nakka: kurrawa /kurawa/,,,
xipakʼi,baby,xipakʼi,noun,Derived from Proto-Nakka: xipakki /xipakʼi/,,,
put͡ʃan,hair,put͡ʃan,noun,Derived from Proto-Nakka: pučan /put͡ʃan/,,,
wiqaw,kick,wiqaw,verb,Derived from Proto-Nakka: wiqaw /wiqaw/,,,
qʼuta,fill,qʼuta,verb,Derived from Proto-Nakka: qquta /qʼuta/,,,
nura,school,nura,noun,Derived from Proto-Nakka: nurra /nura/,,,
manaq,student,manaq,noun,Derived from Proto-Nakka: manaq /manaq/,,,
makʼux,earth,makʼux,noun,Derived from Proto-Nakka: makkux /makʼux/,,,
tawa,river,tawa,noun,Derived from Proto-Nakka: tawa /tawa/,,,
t͡ʃuɾa,mouth,t͡ʃuɾa,noun,Derived from Proto-Nakka: čura /t͡ʃuɾa/,,,
xuʃakʼa,plains,xuʃakʼa,noun,Derived from Proto-Nakka: xušakka /xuʃakʼa/,,,
kin,big,kin,adjective,Derived from Proto-Nakka: kin /kin/,,,
nimat,north,nimat,noun,Derived from Proto-Nakka: nimat /nimat/,,,
kipat͡ʃʼi,mountain,kipat͡ʃʼi,noun,Derived from Proto-Nakka: kipačči /kipat͡ʃʼi/,,,
ʃaw,village,ʃaw,noun,Derived from Proto-Nakka: šaw /ʃaw/,,,
